timestamp_utc,run,epoch,is_warmup,seed,rows_per_epoch,backend,ingest_cpu_ms,ingest_wall_ms,ingest_rss_delta_mb
2026-09-05T12:16:04.017823+00:00,2,6,0,1002,1000000,server,3530.0000,11139.4237,1.0898
2026-09-05T12:16:04.017823+00:00,2,6,0,1002,1000000,es,44310.0000,66504.9800,-0.9727
2026-09-05T12:18:12.053777+00:00,2,7,0,1002,1000000,server,3470.0000,11079.9539,1.4609
2026-09-05T12:18:12.053777+00:00,2,7,0,1002,1000000,es,51100.0000,68206.2292,-9.5430
2026-09-05T12:20:19.017926+00:00,2,8,0,1002,1000000,server,3930.0000,11477.9856,-0.0547
2026-09-05T12:20:19.017926+00:00,2,8,0,1002,1000000,es,43590.0000,66545.4868,32.2617
2026-09-05T12:22:24.267494+00:00,2,9,0,1002,1000000,server,3670.0000,11108.7870,-0.1367
2026-09-05T12:22:24.267494+00:00,2,9,0,1002,1000000,es,44680.0000,66493.1926,0.5781
2026-09-05T12:24:30.660430+00:00,3,0,0,1003,1000000,server,3880.0000,11647.3873,5.2305
2026-09-05T12:24:30.660430+00:00,3,0,0,1003,1000000,es,44010.0000,66263.9734,3.2422
2026-09-05T12:26:33.515408+00:00,3,1,0,1003,1000000,server,3950.0000,11519.7927,1.1523
2026-09-05T12:26:33.515408+00:00,3,1,0,1003,1000000,es,44040.0000,67207.4584,2.9023
2026-09-05T12:28:38.516236+00:00,3,2,0,1003,1000000,server,3990.0000,11686.7599,-0.3281
2026-09-05T12:28:38.516236+00:00,3,2,0,1003,1000000,es,43300.0000,66319.2433,0.1953
2026-09-05T12:30:43.829341+00:00,3,3,0,1003,1000000,server,3980.0000,11755.8769,0.6602
2026-09-05T12:30:43.829341+00:00,3,3,0,1003,1000000,es,48900.0000,67260.9245,-9.8477
2026-09-05T12:32:48.823635+00:00,3,4,0,1003,1000000,server,3970.0000,11607.1493,1.8516
2026-09-05T12:32:48.823635+00:00,3,4,0,1003,1000000,es,53750.0000,66393.4664,-31.1133
2026-09-05T12:34:59.789684+00:00,3,5,0,1003,1000000,server,3980.0000,11569.4471,0.6250
2026-09-05T12:34:59.789684+00:00,3,5,0,1003,1000000,es,45560.0000,68602.8550,3.3359
2026-09-05T12:37:05.681398+00:00,3,6,0,1003,1000000,server,3490.0000,11253.1530,-0.5273
2026-09-05T12:37:05.681398+00:00,3,6,0,1003,1000000,es,43920.0000,66553.3694,-0.8477
2026-09-05T12:39:10.644122+00:00,3,7,0,1003,1000000,server,3920.0000,11447.9871,0.7656
2026-09-05T12:39:10.644122+00:00,3,7,0,1003,1000000,es,49720.0000,67160.4564,-9.2383
2026-09-05T12:41:18.593461+00:00,3,8,0,1003,1000000,server,3550.0000,11184.9049,-0.5898
2026-09-05T12:41:18.593461+00:00,3,8,0,1003,1000000,es,44210.0000,66494.9836,-0.4609
2026-09-05T12:43:23.581230+00:00,3,9,0,1003,1000000,server,3480.0000,11007.0124,0.6953
2026-09-05T12:43:23.581230+00:00,3,9,0,1003,1000000,es,51410.0000,66179.0671,-16.7969
2026-09-05T12:45:30.360694+00:00,4,0,0,1004,1000000,server,3870.0000,11505.0822,5.3359
2026-09-05T12:45:30.360694+00:00,4,0,0,1004,1000000,es,43800.0000,66203.7588,3.2148
2026-09-05T12:47:33.334839+00:00,4,1,0,1004,1000000,server,3920.0000,11533.6764,1.1758
2026-09-05T12:47:33.334839+00:00,4,1,0,1004,1000000,es,43470.0000,66923.4785,3.0156
2026-09-05T12:49:40.431378+00:00,4,2,0,1004,1000000,server,3970.0000,11727.8192,-0.0195
2026-09-05T12:49:40.431378+00:00,4,2,0,1004,1000000,es,47800.0000,68843.9206,-0.2461
2026-09-05T12:51:45.445110+00:00,4,3,0,1004,1000000,server,3960.0000,11680.1683,0.4180
2026-09-05T12:51:45.445110+00:00,4,3,0,1004,1000000,es,49090.0000,66410.1636,-9.6602
2026-09-05T12:53:51.912672+00:00,4,4,0,1004,1000000,server,3920.0000,11665.7667,-0.5352
2026-09-05T12:53:51.912672+00:00,4,4,0,1004,1000000,es,53160.0000,67455.3954,-30.9336
2026-09-05T12:56:01.822858+00:00,4,5,0,1004,1000000,server,3540.0000,11117.5337,0.5508
2026-09-05T12:56:01.822858+00:00,4,5,0,1004,1000000,es,43410.0000,65503.0846,2.9883
2026-09-05T12:58:10.731505+00:00,4,6,0,1004,1000000,server,3910.0000,11656.8259,0.2656
2026-09-05T12:58:10.731505+00:00,4,6,0,1004,1000000,es,44110.0000,67162.3528,-1.0195
2026-09-05T13:00:15.727686+00:00,4,7,0,1004,1000000,server,3960.0000,11608.0268,-0.3398
2026-09-05T13:00:15.727686+00:00,4,7,0,1004,1000000,es,49300.0000,66862.0486,-9.5742
2026-09-05T13:02:25.710928+00:00,4,8,0,1004,1000000,server,3900.0000,11512.6415,-0.1875
2026-09-05T13:02:25.710928+00:00,4,8,0,1004,1000000,es,44170.0000,66614.4585,-0.5352
2026-09-05T13:04:31.690691+00:00,4,9,0,1004,1000000,server,3930.0000,11489.5615,0.6328
2026-09-05T13:04:31.690691+00:00,4,9,0,1004,1000000,es,50120.0000,67202.5293,-16.3750
2026-09-05T13:06:45.266575+00:00,5,0,0,1005,1000000,server,3840.0000,11408.9013,5.4102
2026-09-05T13:06:45.266575+00:00,5,0,0,1005,1000000,es,43000.0000,66300.9415,3.1719
2026-09-05T13:08:48.254682+00:00,5,1,0,1005,1000000,server,3950.0000,11555.3194,0.3867
2026-09-05T13:08:48.254682+00:00,5,1,0,1005,1000000,es,43800.0000,67349.5130,3.3789
2026-09-05T13:10:56.331618+00:00,5,2,0,1005,1000000,server,3930.0000,11779.6499,0.8398
2026-09-05T13:10:56.331618+00:00,5,2,0,1005,1000000,es,47330.0000,69339.2736,-0.3359
2026-09-05T13:13:02.235666+00:00,5,3,0,1005,1000000,server,3920.0000,11466.0394,-0.5703
2026-09-05T13:13:02.235666+00:00,5,3,0,1005,1000000,es,48200.0000,67153.2890,-9.6094
2026-09-05T13:15:10.255457+00:00,5,4,0,1005,1000000,server,3940.0000,11606.0143,0.8516
2026-09-05T13:15:10.255457+00:00,5,4,0,1005,1000000,es,55490.0000,67430.6723,-31.2617
2026-09-05T13:17:26.300635+00:00,5,5,0,1005,1000000,server,3950.0000,11616.7447,0.3828
2026-09-05T13:17:26.300635+00:00,5,5,0,1005,1000000,es,48330.0000,71361.7635,2.9727
2026-09-05T13:19:34.477201+00:00,5,6,0,1005,1000000,server,3890.0000,11555.0009,0.2812
2026-09-05T13:19:34.477201+00:00,5,6,0,1005,1000000,es,44470.0000,68064.0905,0.1523
2026-09-05T13:21:40.796780+00:00,5,7,0,1005,1000000,server,3820.0000,11374.9846,-0.3672
2026-09-05T13:21:40.796780+00:00,5,7,0,1005,1000000,es,49830.0000,67241.7584,-9.6289
2026-09-05T13:23:49.812218+00:00,5,8,0,1005,1000000,server,3470.0000,11191.1620,0.0859
2026-09-05T13:23:49.812218+00:00,5,8,0,1005,1000000,es,45850.0000,68191.0964,-0.2930
2026-09-05T13:25:55.820559+00:00,5,9,0,1005,1000000,server,3550.0000,11115.2032,0.2539
2026-09-05T13:25:55.820559+00:00,5,9,0,1005,1000000,es,51420.0000,67601.2305,-15.2539
2026-09-05T13:28:05.593801+00:00,6,0,0,1006,1000000,server,3880.0000,11357.2852,5.4805
2026-09-05T13:28:05.593801+00:00,6,0,0,1006,1000000,es,42970.0000,65995.5919,3.5820
2026-09-05T13:30:08.526493+00:00,6,1,0,1006,1000000,server,3930.0000,11481.9194,0.4961
2026-09-05T13:30:08.526493+00:00,6,1,0,1006,1000000,es,43990.0000,66877.9205,3.1055
2026-09-05T13:32:13.516626+00:00,6,2,0,1006,1000000,server,3870.0000,11454.8939,2.0312
2026-09-05T13:32:13.516626+00:00,6,2,0,1006,1000000,es,44300.0000,66787.7451,-0.2891
2026-09-05T13:34:17.451497+00:00,6,3,0,1006,1000000,server,3910.0000,11447.5404,-0.0547
2026-09-05T13:34:17.451497+00:00,6,3,0,1006,1000000,es,47990.0000,65965.4384,-9.7266
2026-09-05T13:36:22.891813+00:00,6,4,0,1006,1000000,server,3870.0000,11365.0458,0.5742
2026-09-05T13:36:22.891813+00:00,6,4,0,1006,1000000,es,52830.0000,66705.3903,-32.5156
2026-09-05T13:38:36.069355+00:00,6,5,0,1006,1000000,server,3950.0000,11575.3496,-0.4453
2026-09-05T13:38:36.069355+00:00,6,5,0,1006,1000000,es,44510.0000,66796.1330,0.6133
2026-09-05T13:40:41.041423+00:00,6,6,0,1006,1000000,server,3910.0000,11392.1706,0.6719
