run,epoch,key,metric,quantile,backend,estimate,exact,rel_err_pct
0,1,N001,cpu_cores,50.0,sketch,1.868246346650378,1.868234,0.0006608728016983492
0,1,N001,cpu_cores,90.0,sketch,2.432696459686985,2.4315357000000004,0.047737719293386494
0,1,N001,memory_gb,50.0,sketch,17.72544110834361,17.717602,0.04424474792700635
0,1,N001,memory_gb,90.0,sketch,17.76092747692888,17.764378100000002,0.01942439556114195
0,1,N001,network_mbps,50.0,sketch,120.18131927458639,120.27931000000001,0.0814693112336807
0,1,N001,network_mbps,90.0,sketch,242.50002908951848,242.63484880000001,0.05556485853055126
0,1,N002,cpu_cores,50.0,sketch,0.06835771178306572,0.0683,0.08449748618700635
0,1,N002,cpu_cores,90.0,sketch,0.45429874759504557,0.453983,0.06955053273923159
0,1,N002,memory_gb,50.0,sketch,14.139904166927847,14.132532,0.052164516081390805
0,1,N002,memory_gb,90.0,sketch,14.139904166927847,14.1405701,0.004709379236078814
0,1,N002,network_mbps,50.0,sketch,139.9103201502188,139.934727,0.01744159602440993
0,1,N002,network_mbps,90.0,sketch,286.2890273515317,286.0807291000001,0.07281100414798033
0,1,N003,cpu_cores,50.0,sketch,0.20372168001082216,0.203547,0.0858180227771272
0,1,N003,cpu_cores,90.0,sketch,1.7806886870855532,1.7790687000000003,0.09105815225420397
0,1,N003,memory_gb,50.0,sketch,13.829929,13.822573,0.05321729897899397
0,1,N003,memory_gb,90.0,sketch,13.829929,13.824613,0.0384531559762327
0,1,N003,network_mbps,50.0,sketch,160.6136341517149,160.5212545,0.05754979426410298
0,1,N003,network_mbps,90.0,sketch,324.73255233870776,324.8914630000003,0.04891192271571296
0,1,N004,cpu_cores,50.0,sketch,0.060992709866632785,0.06099,0.004443132698447191
0,1,N004,cpu_cores,90.0,sketch,1.249820666639366,1.2501145,0.023504515837063943
0,1,N004,memory_gb,50.0,sketch,1.5480563025566452,1.547015,0.06731043697993494
0,1,N004,memory_gb,90.0,sketch,1.5480563025566452,1.548379,0.020840985530983062
0,1,N004,network_mbps,50.0,sketch,178.93126344657372,179.0379505,0.05958907210919536
0,1,N004,network_mbps,90.0,sketch,364.67332992437423,364.5061275,0.04587095024191013
0,1,N005,cpu_cores,50.0,sketch,0.05619087174914623,0.056190500000000004,0.0006615871832840648
0,1,N005,cpu_cores,90.0,sketch,0.10035907580408687,0.10031210000000002,0.04682964875309888
0,1,N005,memory_gb,50.0,sketch,1.6904591442095733,1.688833,0.09628804088819316
0,1,N005,memory_gb,90.0,sketch,1.6904591442095733,1.690043,0.024623291216458152
0,1,N005,network_mbps,50.0,sketch,200.13692680824184,200.026011,0.055450692481103146
0,1,N005,network_mbps,90.0,sketch,407.0768560019509,407.22513140000007,0.036411160956452526
0,1,N006,cpu_cores,50.0,sketch,1.3512094771094318,1.3525135,0.09641477815697068
0,1,N006,cpu_cores,90.0,sketch,1.8057936618497081,1.8058692,0.004182924781702443
0,1,N006,memory_gb,50.0,sketch,13.63992114172937,13.627271,0.09282960417658304
0,1,N006,memory_gb,90.0,sketch,13.63992114172937,13.63486,0.03711913235171383
0,1,N006,network_mbps,50.0,sketch,120.18131927458639,120.10163,0.06635153460147522
0,1,N006,network_mbps,90.0,sketch,243.47197211999443,243.3151761000001,0.06444152909307395
0,1,N007,cpu_cores,50.0,sketch,0.05755576634693051,0.0576075,0.08980367672522785
0,1,N007,cpu_cores,90.0,sketch,0.08812484209623367,0.088212,0.09880504213296382
0,1,N007,memory_gb,50.0,sketch,1.6372207904392413,1.638067,0.05165903230811978
0,1,N007,memory_gb,90.0,sketch,1.6904591442095733,1.6906825,0.013210983755185271
0,1,N007,network_mbps,50.0,sketch,140.1904208912603,140.1213755,0.04927541641231539
0,1,N007,network_mbps,90.0,sketch,286.2890273515317,286.5507379000001,0.0913313119995434
0,1,N008,cpu_cores,50.0,sketch,0.4747341820475131,0.474943,0.04396695024179637
0,1,N008,cpu_cores,90.0,sketch,1.7842536294020406,1.7856603000000004,0.07877593503981954
0,1,N008,memory_gb,50.0,sketch,13.777004674142,13.7732765,0.027068171774530154
0,1,N008,memory_gb,90.0,sketch,13.777004674142,13.784823,0.05671691147574899
0,1,N008,network_mbps,50.0,sketch,159.33385061157435,159.3717835,0.023801508392885494
0,1,N008,network_mbps,90.0,sketch,322.7899898921799,322.4834230000001,0.09506438790803536
0,1,N009,cpu_cores,50.0,sketch,0.06515404366528074,0.065188,0.05208985506420502
0,1,N009,cpu_cores,90.0,sketch,0.7858415632590371,0.785721,0.01534428366265984
0,1,N009,memory_gb,50.0,sketch,1.611233700240515,1.610746,0.030277911012352797
0,1,N009,memory_gb,90.0,sketch,1.611233700240515,1.612414,0.07320078835119086
0,1,N009,network_mbps,50.0,sketch,178.57375842470245,178.52792749999998,0.025671571582250922
0,1,N009,network_mbps,90.0,sketch,361.04476846089904,360.95557980000007,0.024709040638293343
0,1,N010,cpu_cores,50.0,sketch,0.14587566325259693,0.1458015,0.05086590508117651
0,1,N010,cpu_cores,90.0,sketch,1.3377647137132753,1.337299,0.03482495038695956
0,1,N010,memory_gb,50.0,sketch,1.502304309474663,1.500965,0.08922989374588922
0,1,N010,memory_gb,90.0,sketch,1.502304309474663,1.503581,0.08490999323195526
