scenario,estimator,rule,gamma,lam,runs,completed_mean,completed_sd,vs_static_pct,cpu_est_err_pct,constrained_task_epochs,moves,evicted,not_optimal_solves
static,static,request,0,0.0,3,1177.33,12.42,+0.00,41.8735,166.7,0.0,0,6
dynamic,sketch,p50,0,0.0,3,1296.67,8.14,+10.14,0.6373,545.7,0.0,0,25
reassign,static,request,10,1.0,3,1178.67,9.07,+0.11,41.7565,177.3,0.0,0,13
dynamic+reassign,sketch,p50,10,1.0,3,1280.00,5.20,+8.72,0.6345,477.7,57.0,0,28
es,es,p50,10,1.0,3,1277.00,6.08,+8.47,0.5891,502.3,61.3,0,29
p90,sketch,p90,10,1.0,3,1211.33,3.79,+2.89,12.9601,291.7,92.3,0,21
avg,sketch,avg,10,1.0,3,1277.33,4.16,+8.49,0.0000,483.3,63.3,0,32
p50-1.2xalloc,sketch,p50bump,10,1.0,3,1266.00,3.61,+7.53,4.7375,449.0,97.3,0,36
window-avg,sketch,window,10,1.0,3,1281.00,4.36,+8.81,4.0178,488.3,51.3,0,31
