timestamp,variant,run,workload,node_count,message
2026-01-23T17:47:58,cumulative_mem,3,N001,1,ok
2026-01-23T17:47:58,cumulative_mem,4,N001,1,ok
2026-01-23T17:47:58,cumulative_mem,5,N001,1,ok
2026-01-23T17:47:58,p25_net,1,N001,1,Node N001 network_p25 diff 10445.1 vs 10056.084711459072
2026-01-23T17:47:58,p25_net,2,N001,1,Node N001 network_p25 diff 10445.1 vs 10056.084711459072
2026-01-23T17:47:58,p25_net,3,N001,1,Node N001 network_p25 diff 10445.1 vs 10056.084711459072
2026-01-23T17:47:58,p25_net,4,N001,1,Node N001 network_p25 diff 10445.1 vs 10056.084711459072
2026-01-23T17:47:58,p25_net,5,N001,1,Node N001 network_p25 diff 10445.1 vs 10056.084711459072
2026-01-23T17:47:58,p50_net,1,N001,1,Node N001 network_p50 diff 20190.4 vs 19966.47628641598
2026-01-23T17:47:58,p50_net,2,N001,1,Node N001 network_p50 diff 20190.4 vs 19966.47628641598
2026-01-23T17:47:58,p50_net,3,N001,1,Node N001 network_p50 diff 20190.4 vs 19966.47628641598
2026-01-23T17:47:58,p50_net,4,N001,1,Node N001 network_p50 diff 20190.4 vs 19966.47628641598
2026-01-23T17:47:58,p50_net,5,N001,1,Node N001 network_p50 diff 20190.4 vs 19966.47628641598
2026-01-23T17:47:58,p75_net,1,N001,1,ok
2026-01-23T17:47:58,p75_net,2,N001,1,ok
2026-01-23T17:47:58,p75_net,3,N001,1,ok
2026-01-23T17:47:58,p75_net,4,N001,1,ok
2026-01-23T17:47:58,p75_net,5,N001,1,ok
2026-01-23T17:47:58,p90_net,1,N001,1,ok
2026-01-23T17:47:58,p90_net,2,N001,1,ok
2026-01-23T17:47:58,p90_net,3,N001,1,ok
2026-01-23T17:47:58,p90_net,4,N001,1,ok
2026-01-23T17:47:58,p90_net,5,N001,1,ok
2026-01-23T17:47:58,p25_p50_p75_p90_net,1,N001,1,Node N001 network_p25 diff 10445.1 vs 10056.084711459072
2026-01-23T17:47:58,p25_p50_p75_p90_net,1,N001,1,Node N001 network_p50 diff 20190.4 vs 19966.47628641598
2026-01-23T17:47:58,p25_p50_p75_p90_net,2,N001,1,Node N001 network_p25 diff 10445.1 vs 10056.084711459072
2026-01-23T17:47:58,p25_p50_p75_p90_net,2,N001,1,Node N001 network_p50 diff 20190.4 vs 19966.47628641598
2026-01-23T17:47:58,p25_p50_p75_p90_net,3,N001,1,Node N001 network_p25 diff 10445.1 vs 10056.084711459072
2026-01-23T17:47:58,p25_p50_p75_p90_net,3,N001,1,Node N001 network_p50 diff 20190.4 vs 19966.47628641598
2026-01-23T17:47:58,p25_p50_p75_p90_net,4,N001,1,Node N001 network_p25 diff 10445.1 vs 10056.084711459072
2026-01-23T17:47:58,p25_p50_p75_p90_net,4,N001,1,Node N001 network_p50 diff 20190.4 vs 19966.47628641598
2026-01-23T17:47:58,p25_p50_p75_p90_net,5,N001,1,Node N001 network_p25 diff 10445.1 vs 10056.084711459072
