timestamp_utc,run_id,epoch,seed,rows_ingested,emulator_rows,padding_rows,backend,query_shape,es_large_compression,cache_mode,repeat_count,mean_elapsed_ms,median_elapsed_ms,p90_elapsed_ms,p100_elapsed_ms,min_elapsed_ms,max_elapsed_ms,std_elapsed_ms,mean_es_took_ms,median_es_took_ms,json_path
2026-05-27T21:50:10.034938+00:00,1,2,1001,1000000,0,1000000,es_large,p50,1000,es_cache_disabled,10,1641.3313,1599.3867,1702.7582,1776.0328,1592.1794,1776.0328,63.8741,49.5933,49.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:50:10.035005+00:00,1,2,1001,1000000,0,1000000,server,p90,1000,na,10,3.3968,3.1790,3.4531,5.3863,3.1119,5.3863,0.7005,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:50:10.035068+00:00,1,2,1001,1000000,0,1000000,es_default,p90,1000,es_cache_disabled,10,784.2723,785.4790,797.8757,799.7608,768.7434,799.7608,9.9164,21.9067,21.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:50:10.035146+00:00,1,2,1001,1000000,0,1000000,es_large,p90,1000,es_cache_disabled,10,1595.7998,1595.1048,1602.9366,1603.3041,1588.3337,1603.3041,5.3105,48.6767,48.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:50:10.035210+00:00,1,2,1001,1000000,0,1000000,server,p100,1000,na,10,3.4424,3.2425,3.4870,5.4131,3.1267,5.4131,0.6940,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:50:10.035270+00:00,1,2,1001,1000000,0,1000000,es_default,p100,1000,es_cache_disabled,10,780.4354,779.4589,788.4594,793.1853,769.4608,793.1853,6.7641,21.8200,21.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:50:10.035329+00:00,1,2,1001,1000000,0,1000000,es_large,p100,1000,es_cache_disabled,10,1588.8394,1590.5223,1592.2602,1593.2676,1580.9216,1593.2676,4.0346,48.5233,48.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:50:10.035403+00:00,1,2,1001,1000000,0,1000000,server,all_quantile,1000,na,10,3.8385,3.6022,4.2595,5.6856,3.4766,5.6856,0.6735,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:50:10.035458+00:00,1,2,1001,1000000,0,1000000,es_default,all_quantile,1000,es_cache_disabled,10,785.8064,787.9849,795.2375,796.7159,770.0617,796.7159,9.0579,21.9433,21.5000,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:50:10.035522+00:00,1,2,1001,1000000,0,1000000,es_large,all_quantile,1000,es_cache_disabled,10,1602.3733,1594.2516,1606.8786,1680.7168,1588.2689,1680.7168,27.7324,48.8600,48.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:50:10.035579+00:00,1,2,1001,1000000,0,1000000,server,sum,1000,na,10,3.3107,2.9408,4.4418,5.0764,2.8721,5.0764,0.7677,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:50:10.035632+00:00,1,2,1001,1000000,0,1000000,es_default,sum,1000,es_cache_disabled,10,250.9367,250.5693,252.6663,253.8172,249.0489,253.8172,1.4449,4.1133,4.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:50:10.035683+00:00,1,2,1001,1000000,0,1000000,es_large,sum,1000,es_cache_disabled,10,251.2109,251.9497,253.2136,253.6969,248.0911,253.6969,2.2113,4.1167,4.0000,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
2026-05-27T21:50:10.035732+00:00,1,2,1001,1000000,0,1000000,server,all_in,1000,na,10,4.3235,3.6981,5.0423,8.7977,3.5571,8.7977,1.6074,,,data/multi_run_epoch_query_breakdown_raw/run01_epoch02.json
