group,epoch,node,agg_name,time_ns,build_ns,collect_ns,post_ns,reduce_ns
all,1,N017,net_pct,15028304,77709,14905537,90,0
all,1,N017,cpu_sum,4316171,3902,4272522,130,0
all,1,N017,mem_sum,4348135,1190,4313722,86,0
all,1,N017,net_sum,4362946,1093,4329044,55,0
all,1,N018,cpu_pct,12754143,54347,12582603,456,0
all,1,N018,mem_pct,19899982,31816,19822320,93,0
all,1,N018,net_pct,10208991,63208,10098296,82,0
all,1,N018,cpu_sum,4296978,3566,4255745,175,0
all,1,N018,mem_sum,4381571,1350,4345708,67,0
all,1,N018,net_sum,4552246,1196,4516636,70,0
all,1,N019,cpu_pct,16911699,34401,16744312,623,0
all,1,N019,mem_pct,10371141,81379,10250719,81,0
all,1,N019,net_pct,10921058,53586,10834621,80,0
all,1,N019,cpu_sum,4351203,2986,4304053,158,0
all,1,N019,mem_sum,4364016,1297,4321796,74,0
all,1,N019,net_sum,4376170,1120,4336527,71,0
all,1,N020,cpu_pct,16656453,84111,16459892,468,0
all,1,N020,mem_pct,7143651,47001,7058061,85,0
all,1,N020,net_pct,10959987,44343,10870309,57,0
all,1,N020,cpu_sum,4346371,3335,4303922,140,0
all,1,N020,mem_sum,4340911,1222,4313671,68,0
all,1,N020,net_sum,4364542,1041,4334343,70,0
all,1,N021,cpu_pct,11754773,58236,11596668,465,0
all,1,N021,mem_pct,10752821,27137,10685387,61,0
all,1,N021,net_pct,6328498,60845,6237773,74,0
all,1,N021,cpu_sum,3591381,3524,3550729,126,0
all,1,N021,mem_sum,3522000,1080,3494851,51,0
all,1,N021,net_sum,3587017,941,3553926,57,0
all,1,N022,cpu_pct,18827894,73659,18633301,521,0
all,1,N022,mem_pct,18523426,33406,18447279,67,0
all,1,N022,net_pct,17354396,39434,17276698,67,0
all,1,N022,cpu_sum,4361524,3408,4312419,155,0
all,1,N022,mem_sum,4350022,1344,4321453,68,0
all,1,N022,net_sum,4360354,1148,4323900,67,0
all,1,N023,cpu_pct,10170868,68086,9990990,586,0
all,1,N023,mem_pct,12722518,38969,12635743,80,0
all,1,N023,net_pct,23164026,31788,23094706,64,0
all,1,N023,cpu_sum,4311990,4136,4265946,142,0
all,1,N023,mem_sum,4296995,1310,4250152,70,0
all,1,N023,net_sum,4392647,1106,4360498,64,0
all,1,N024,cpu_pct,12907835,52233,12753773,563,0
all,1,N024,mem_pct,9402024,41935,9316140,54,0
all,1,N024,net_pct,11105623,17213,11051372,52,0
all,1,N024,cpu_sum,3515232,6183,3478220,137,0
all,1,N024,mem_sum,3579869,1068,3547085,52,0
all,1,N024,net_sum,3513937,904,3489761,52,0
all,1,N025,cpu_pct,11570153,53896,11408591,648,0
all,1,N025,mem_pct,12491611,36306,12413169,78,0
all,1,N025,net_pct,13698170,27069,13630743,61,0
all,1,N025,cpu_sum,4234309,39312,4161791,127,0
all,1,N025,mem_sum,4210657,1843,4174900,67,0
all,1,N025,net_sum,4450822,1071,4407786,57,0
all,1,N026,cpu_pct,25310745,91702,25083239,660,0
all,1,N026,mem_pct,26010322,63596,25895164,94,0
all,1,N026,net_pct,21506429,65786,21392955,94,0
all,1,N026,cpu_sum,4656462,21428,4574934,174,0
all,1,N026,mem_sum,4558248,751,4511101,94,0
all,1,N026,net_sum,4502054,334,4458430,83,0
all,1,N027,cpu_pct,23818407,73212,23633082,772,0
all,1,N027,mem_pct,8817976,60131,8722907,74,0
all,1,N027,net_pct,18699122,27158,18629123,76,0
all,1,N027,cpu_sum,4616269,1553,4572581,182,0
all,1,N027,mem_sum,4623026,371,4583960,72,0
all,1,N027,net_sum,4601434,263,4559051,74,0
all,1,N028,cpu_pct,9360275,54685,9218384,608,0
all,1,N028,mem_pct,14676943,40568,14600944,62,0
all,1,N028,net_pct,8865877,68627,8767605,51,0
all,1,N028,cpu_sum,3309851,1457,3272732,111,0
all,1,N028,mem_sum,3322056,288,3294102,80,0
all,1,N028,net_sum,3311851,199,3289894,49,0
all,1,N029,cpu_pct,11322303,79476,11167269,482,0
all,1,N029,mem_pct,9138892,53071,9049323,56,0
all,1,N029,net_pct,5195460,18957,5143891,64,0
all,1,N029,cpu_sum,2610356,870,2577464,132,0
all,1,N029,mem_sum,2621170,258,2597332,57,0
all,1,N029,net_sum,2606159,226,2576337,54,0
all,1,N030,cpu_pct,19295191,41781,19161334,636,0
all,1,N030,mem_pct,11811275,37062,11740009,74,0
all,1,N030,net_pct,7670258,69957,7560885,57,0
