timestamp_utc,rows,server_rtt_ms,es_rtt_ms
2026-02-15T23:00:16.121106+00:00,10000,12.6948,177.5636
2026-02-15T23:00:20.778753+00:00,20000,9.7988,181.2212
2026-02-15T23:00:26.640325+00:00,30000,13.7652,259.9874
2026-02-15T23:00:33.567562+00:00,40000,11.9135,313.8363
2026-02-15T23:00:41.641785+00:00,50000,10.5459,369.7954
2026-02-15T23:00:51.690783+00:00,60000,11.7898,199.8188
2026-02-15T23:01:02.851193+00:00,70000,11.5193,220.6625
2026-02-15T23:01:15.061292+00:00,80000,10.4504,252.1834
2026-02-15T23:01:29.514163+00:00,90000,13.0591,217.7366
2026-02-15T23:01:45.083041+00:00,100000,9.5598,276.0709
2026-02-15T23:02:01.568135+00:00,110000,10.2778,257.3764
2026-02-15T23:02:20.373906+00:00,120000,14.2638,288.1316
2026-02-15T23:02:40.109010+00:00,130000,10.5417,255.7967
2026-02-15T23:03:00.940796+00:00,140000,11.8207,242.5531
2026-02-15T23:03:22.888447+00:00,150000,14.5390,251.2078
2026-02-15T23:03:46.021838+00:00,160000,14.9982,247.1764
2026-02-15T23:04:11.270079+00:00,170000,10.7371,265.2950
2026-02-15T23:04:37.470534+00:00,180000,11.6774,261.3978
2026-02-15T23:05:04.767032+00:00,190000,12.6340,270.6744
2026-02-15T23:05:34.219326+00:00,200000,14.1960,281.0823
2026-02-15T23:06:05.034860+00:00,210000,11.7107,304.4844
2026-02-15T23:06:36.733385+00:00,220000,14.1221,262.0430
2026-02-15T23:07:09.259759+00:00,230000,16.4955,275.6837
2026-02-15T23:07:43.885058+00:00,240000,9.2368,265.9684
2026-02-15T23:08:19.676362+00:00,250000,9.2513,298.0701
2026-02-15T23:08:56.458811+00:00,260000,10.5795,394.8142
2026-02-15T23:09:35.399758+00:00,270000,12.0145,317.5124
2026-02-15T23:10:15.065058+00:00,280000,11.0829,295.6397
2026-02-15T23:10:56.095714+00:00,290000,10.4812,356.6670
2026-02-15T23:11:39.010796+00:00,300000,12.4454,365.6232
2026-02-15T23:12:23.018466+00:00,310000,10.9615,309.8664
2026-02-15T23:13:07.879497+00:00,320000,11.4637,335.8044
2026-02-15T23:13:54.927636+00:00,330000,15.1446,336.2971
