timestamp_utc,run,epoch,scenario,estimator,rule,gamma,lam,arrivals,pending_before,assigned,running,completed_this_epoch,completed_total,evicted_total,moves_this_epoch,constrained_tasks,overcommitted_nodes,mean_grant_ratio,solver_ms,solver_status,objective,est_cpu_err_mean,est_cpu_err_p90
2026-09-04T20:01:15.725753+00:00,0,11,static,static,request,10,1.0,36,79,65,110,28,223,0,0,10,0,0.9922,1353.965,OPTIMAL,3629.000000,40.1863,83.5105
2026-09-04T20:01:18.835672+00:00,0,11,sketch,sketch,p50,10,1.0,36,57,73,123,34,236,0,1,72,0,0.9124,3009.359,OPTIMAL,4032.000000,11.1234,36.0857
2026-09-04T20:01:20.454110+00:00,0,11,es,es,p50,10,1.0,36,56,72,123,34,236,0,1,73,1,0.9153,651.810,OPTIMAL,4031.000000,11.1972,36.0096
2026-09-04T20:01:56.531591+00:00,0,12,static,static,request,10,1.0,38,88,66,108,30,253,0,0,9,0,0.9920,1915.572,OPTIMAL,3828.000000,41.5273,86.1569
2026-09-04T20:02:00.403265+00:00,0,12,sketch,sketch,p50,10,1.0,38,62,71,128,26,262,0,0,68,1,0.9113,3765.353,OPTIMAL,4031.000000,9.1382,25.1359
2026-09-04T20:02:18.014161+00:00,0,12,es,es,p50,10,1.0,38,62,71,126,28,264,0,1,68,1,0.9139,16125.025,OPTIMAL,4030.000000,9.0871,24.8128
2026-09-04T20:02:57.875157+00:00,0,13,static,static,request,10,1.0,40,100,70,107,31,284,0,0,15,1,0.9922,2476.259,OPTIMAL,4030.000000,45.3307,83.8669
2026-09-04T20:03:00.017910+00:00,0,13,sketch,sketch,p50,10,1.0,40,71,82,132,38,300,0,0,65,0,0.9106,2056.528,OPTIMAL,4042.000000,7.4325,27.6101
2026-09-04T20:03:03.385070+00:00,0,13,es,es,p50,10,1.0,40,71,80,130,36,300,0,0,65,1,0.9127,2443.084,OPTIMAL,4040.000000,7.6850,27.5964
2026-09-04T20:03:38.935866+00:00,0,14,static,static,request,10,1.0,30,100,51,105,27,311,0,0,13,0,0.9922,681.982,OPTIMAL,2625.000000,38.9787,74.1497
2026-09-04T20:03:40.039511+00:00,0,14,sketch,sketch,p50,10,1.0,30,59,59,125,26,326,0,0,75,2,0.9109,1002.144,OPTIMAL,4019.000000,7.2564,22.1033
2026-09-04T20:03:41.841235+00:00,0,14,es,es,p50,10,1.0,30,61,66,126,30,330,0,1,72,1,0.9131,784.493,OPTIMAL,4025.000000,6.9603,22.0152
2026-09-04T20:04:19.087258+00:00,0,15,static,static,request,10,1.0,39,114,61,101,29,340,0,0,10,1,0.9921,1051.907,OPTIMAL,3625.000000,44.0365,98.7670
2026-09-04T20:04:20.866890+00:00,0,15,sketch,sketch,p50,10,1.0,39,79,73,127,31,357,0,1,75,3,0.9101,1674.951,OPTIMAL,4032.000000,8.4384,26.6036
2026-09-04T20:04:23.723166+00:00,0,15,es,es,p50,10,1.0,39,74,72,128,30,360,0,1,71,2,0.9125,1606.915,OPTIMAL,4031.000000,8.0162,26.5990
2026-09-04T20:05:01.056285+00:00,0,16,static,static,request,10,1.0,21,110,60,91,31,371,0,0,10,0,0.9922,2366.897,OPTIMAL,3921.000000,42.1877,81.4798
2026-09-04T20:05:02.081392+00:00,0,16,sketch,sketch,p50,10,1.0,21,67,67,116,38,395,0,0,76,0,0.9088,939.572,OPTIMAL,4027.000000,8.0377,23.2829
2026-09-04T20:05:04.491578+00:00,0,16,es,es,p50,10,1.0,21,63,65,116,37,397,0,3,78,0,0.9111,1293.450,OPTIMAL,4022.000000,7.6238,22.9060
2026-09-04T20:05:40.251634+00:00,0,17,static,static,request,10,1.0,38,127,57,91,17,388,0,0,4,0,0.9924,713.134,OPTIMAL,4017.000000,42.7289,83.2313
2026-09-04T20:05:42.015859+00:00,0,17,sketch,sketch,p50,10,1.0,38,78,73,126,23,418,0,0,69,1,0.9086,1662.390,OPTIMAL,4033.000000,8.1325,25.3329
2026-09-04T20:05:45.207643+00:00,0,17,es,es,p50,10,1.0,38,76,75,127,24,421,0,0,67,0,0.9108,1935.579,OPTIMAL,4035.000000,8.2832,25.3247
2026-09-04T20:06:21.363042+00:00,0,18,static,static,request,10,1.0,30,140,61,89,23,411,0,0,10,0,0.9922,733.038,OPTIMAL,4021.000000,46.4242,94.9901
2026-09-04T20:06:22.225089+00:00,0,18,sketch,sketch,p50,10,1.0,30,75,65,129,22,440,0,2,74,1,0.9077,746.242,OPTIMAL,4023.000000,9.3564,27.0861
2026-09-04T20:06:24.452658+00:00,0,18,es,es,p50,10,1.0,30,71,62,129,20,441,0,0,78,3,0.9097,1153.514,OPTIMAL,4022.000000,9.1865,28.2949
2026-09-04T20:07:01.523250+00:00,0,19,static,static,request,10,1.0,45,164,53,90,18,429,0,0,4,0,0.9924,349.486,OPTIMAL,3419.000000,44.5886,89.6187
2026-09-04T20:07:02.764956+00:00,0,19,sketch,sketch,p50,10,1.0,45,95,63,118,34,474,0,1,70,1,0.9071,1145.949,OPTIMAL,4022.000000,8.2062,25.7541
2026-09-04T20:07:05.058419+00:00,0,19,es,es,p50,10,1.0,45,94,65,120,34,475,0,1,71,1,0.9090,637.030,OPTIMAL,4024.000000,8.5178,25.7534
2026-09-04T20:07:42.095971+00:00,0,20,static,static,request,10,1.0,40,185,62,87,25,454,0,0,10,0,0.9924,1705.568,OPTIMAL,4022.000000,36.8619,69.7263
2026-09-04T20:07:44.127033+00:00,0,20,sketch,sketch,p50,10,1.0,40,112,65,114,29,503,0,0,66,0,0.9059,1937.950,OPTIMAL,4025.000000,8.7410,29.2025
2026-09-04T20:07:48.359118+00:00,0,20,es,es,p50,10,1.0,40,109,67,116,31,506,0,2,73,2,0.9077,2856.597,OPTIMAL,4025.000000,8.7408,27.8734
2026-09-04T20:08:23.351314+00:00,1,0,static,static,request,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,73.218,OPTIMAL,38.000000,,
2026-09-04T20:08:23.415342+00:00,1,0,sketch,sketch,p50,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,63.329,OPTIMAL,38.000000,,
2026-09-04T20:08:23.477493+00:00,1,0,es,es,p50,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,61.446,OPTIMAL,38.000000,,
2026-09-04T20:08:57.857610+00:00,1,1,static,static,request,10,1.0,23,23,61,61,0,0,0,0,4,0,0.9921,123.901,OPTIMAL,3823.000000,34.2670,56.2639
2026-09-04T20:08:58.003372+00:00,1,1,sketch,sketch,p50,10,1.0,23,23,61,61,0,0,0,0,4,0,0.9921,108.322,OPTIMAL,3823.000000,1.3790,1.7780
2026-09-04T20:08:58.920553+00:00,1,1,es,es,p50,10,1.0,23,23,61,61,0,0,0,0,4,0,0.9921,246.368,OPTIMAL,3823.000000,1.3325,1.4868
2026-09-04T20:09:36.073579+00:00,1,2,static,static,request,10,1.0,36,36,74,87,8,8,0,0,5,0,0.9922,1691.479,OPTIMAL,4034.000000,41.3067,76.8353
2026-09-04T20:09:36.720007+00:00,1,2,sketch,sketch,p50,10,1.0,36,36,76,90,7,7,0,0,24,0,0.9682,590.726,OPTIMAL,4036.000000,4.9181,11.5013
2026-09-04T20:09:38.136531+00:00,1,2,es,es,p50,10,1.0,36,36,76,90,7,7,0,0,24,0,0.9683,446.278,OPTIMAL,4036.000000,4.8611,11.5013
2026-09-04T20:10:13.421306+00:00,1,3,static,static,request,10,1.0,34,36,53,102,10,18,0,0,5,0,0.9930,732.867,OPTIMAL,2825.000000,44.4316,88.6043
2026-09-04T20:10:14.031462+00:00,1,3,sketch,sketch,p50,10,1.0,34,34,72,111,11,18,0,0,37,0,0.9560,501.443,OPTIMAL,4032.000000,5.5562,17.5543
2026-09-04T20:10:15.443631+00:00,1,3,es,es,p50,10,1.0,34,34,72,111,11,18,0,1,37,1,0.9509,683.860,OPTIMAL,4031.000000,5.5099,17.5403
2026-09-04T20:10:53.467486+00:00,1,4,static,static,request,10,1.0,36,47,52,107,18,36,0,1,10,0,0.9923,1997.799,OPTIMAL,2922.000000,45.9712,93.8385
2026-09-04T20:10:55.072707+00:00,1,4,sketch,sketch,p50,10,1.0,36,38,69,123,17,35,0,0,58,1,0.9443,1511.122,OPTIMAL,4029.000000,7.5536,24.9310
2026-09-04T20:10:58.651978+00:00,1,4,es,es,p50,10,1.0,36,38,69,123,17,35,0,0,58,1,0.9410,2759.848,OPTIMAL,4029.000000,7.5008,24.8750
2026-09-04T20:12:04.450462+00:00,1,5,static,static,request,10,1.0,34,58,74,114,27,63,0,0,13,0,0.9923,30094.212,FEASIBLE,4034.000000,43.5085,99.3274
2026-09-04T20:12:06.287167+00:00,1,5,sketch,sketch,p50,10,1.0,34,43,70,132,21,56,0,0,63,0,0.9366,1734.138,OPTIMAL,4030.000000,8.3312,24.8216
2026-09-04T20:12:09.822031+00:00,1,5,es,es,p50,10,1.0,34,43,71,133,21,56,0,0,64,1,0.9343,1929.976,OPTIMAL,4031.000000,8.2861,24.7390
2026-09-04T20:12:49.592002+00:00,1,6,static,static,request,10,1.0,29,53,69,114,29,92,0,0,13,1,0.9923,2192.008,OPTIMAL,4029.000000,46.3746,98.5847
2026-09-04T20:12:50.695810+00:00,1,6,sketch,sketch,p50,10,1.0,29,42,71,129,34,90,0,0,70,2,0.9318,1006.606,OPTIMAL,4031.000000,7.4401,23.7676
2026-09-04T20:12:53.432605+00:00,1,6,es,es,p50,10,1.0,29,41,71,131,33,89,0,0,70,1,0.9304,1397.778,OPTIMAL,4031.000000,7.5473,23.7029
2026-09-04T20:13:29.635832+00:00,1,7,static,static,request,10,1.0,28,52,59,114,22,114,0,0,12,1,0.9927,1007.852,OPTIMAL,3722.000000,44.9870,92.1487
2026-09-04T20:13:30.572278+00:00,1,7,sketch,sketch,p50,10,1.0,28,39,66,128,27,117,0,2,79,3,0.9256,800.244,OPTIMAL,4024.000000,8.2378,21.8575
