timestamp_utc,run,epoch,rows,usage_quantile,arrivals,sketch_ingest_ms,es_ingest_ms,sketch_query_ms,es_query_ms,sketch_solver_ms,es_solver_ms,sketch_solver_status,es_solver_status,sketch_assigned,es_assigned,sketch_pending_before,es_pending_before,sketch_running,es_running,sketch_completed,es_completed,sketch_dropped,es_dropped,sketch_objective,es_objective,cpu_q_max_abs_err,cpu_q_max_rel_err_pct,mem_q_max_abs_err,solver_backend
2026-09-06T06:29:25.962768+00:00,2,0,996800,50.0,66,3064.257,28834.995,7.089,521.649,276.950,237.766,OPTIMAL,OPTIMAL,66,66,66,66,66,66,0,0,0,0,66.000000,66.000000,0.19214070,42.357010,0.00603128,SCIP
2026-09-06T06:30:05.515424+00:00,2,1,996800,50.0,61,3160.863,29161.813,5.986,577.533,161.589,230.755,OPTIMAL,OPTIMAL,61,61,61,61,120,120,7,7,0,0,61.000000,61.000000,0.17461286,36.888987,0.00592336,SCIP
2026-09-06T06:31:33.159173+00:00,2,2,996800,50.0,55,3149.305,29616.453,6.177,705.863,30179.836,17689.548,OPTIMAL,OPTIMAL,52,53,55,55,132,133,47,47,0,0,52.000000,53.000000,0.15844960,39.861675,0.00546528,SCIP
2026-09-06T06:32:17.679170+00:00,2,3,996800,50.0,64,3125.423,32082.938,5.675,1093.077,1446.405,591.717,OPTIMAL,OPTIMAL,67,66,67,66,137,137,109,109,0,0,67.000000,66.000000,0.16685182,35.100184,0.00608572,SCIP
2026-09-06T06:32:56.887343+00:00,2,4,996800,50.0,56,3214.514,28901.287,5.972,582.822,134.664,91.616,OPTIMAL,OPTIMAL,56,56,56,56,131,130,171,172,0,0,56.000000,56.000000,0.15365256,38.789146,0.00568921,SCIP
2026-09-06T06:34:42.019794+00:00,2,5,996800,50.0,69,3187.244,28854.984,5.934,723.545,5970.337,60074.621,OPTIMAL,FEASIBLE,68,67,69,69,139,138,231,231,0,0,68.000000,67.000000,0.21192376,42.707996,0.00818308,SCIP
2026-09-06T06:36:27.486349+00:00,2,6,996800,50.0,67,3072.335,31484.710,5.135,1064.908,3621.000,60051.577,OPTIMAL,FEASIBLE,68,68,68,69,149,148,289,289,0,0,68.000000,68.000000,0.22451386,42.255160,0.00542630,SCIP
2026-09-06T06:38:21.359424+00:00,2,7,996800,50.0,69,3057.731,30637.461,5.961,1075.852,12942.074,60097.845,OPTIMAL,FEASIBLE,64,65,69,70,146,146,356,356,0,0,64.000000,65.000000,0.16835510,40.167520,0.00736240,SCIP
2026-09-06T06:39:03.867341+00:00,2,8,996800,50.0,52,3057.983,31241.251,6.165,1105.293,132.426,870.278,OPTIMAL,OPTIMAL,57,57,57,57,134,136,425,423,0,0,57.000000,57.000000,0.15811883,35.655808,0.00566768,SCIP
2026-09-06T06:39:44.660315+00:00,2,9,996800,50.0,46,3200.978,29962.122,6.473,1138.065,113.459,70.046,OPTIMAL,OPTIMAL,46,46,46,46,115,115,490,490,0,0,46.000000,46.000000,0.20320402,39.949201,0.00773363,SCIP
2026-09-06T06:40:24.332428+00:00,3,0,996800,50.0,66,3155.783,28592.910,6.843,495.584,277.651,235.046,OPTIMAL,OPTIMAL,66,66,66,66,66,66,0,0,0,0,66.000000,66.000000,0.19293506,39.385568,0.00545163,SCIP
2026-09-06T06:41:04.952918+00:00,3,1,996800,50.0,61,3182.475,30185.211,6.467,587.937,148.689,109.730,OPTIMAL,OPTIMAL,61,61,61,61,120,120,7,7,0,0,61.000000,61.000000,0.22371681,44.450538,0.00600236,SCIP
2026-09-06T06:42:50.436675+00:00,3,2,996800,50.0,55,3069.240,29471.781,5.753,720.269,5884.323,60106.404,OPTIMAL,FEASIBLE,52,52,55,55,132,132,47,47,0,0,52.000000,52.000000,0.12456413,33.302967,0.00994925,SCIP
2026-09-06T06:43:33.397831+00:00,3,3,996800,50.0,64,3054.494,31558.917,5.402,1075.288,370.158,783.961,OPTIMAL,OPTIMAL,67,67,67,67,137,137,109,109,0,0,67.000000,67.000000,0.18093954,39.936399,0.00517495,SCIP
2026-09-06T06:44:13.483752+00:00,3,4,996800,50.0,56,3156.012,29823.250,5.743,616.469,128.661,93.066,OPTIMAL,OPTIMAL,56,56,56,56,131,131,171,171,0,0,56.000000,56.000000,0.20234886,42.405954,0.00735620,SCIP
2026-09-06T06:46:21.040966+00:00,3,5,996800,50.0,69,3177.737,28634.038,5.585,725.881,28638.814,60068.869,OPTIMAL,FEASIBLE,67,67,69,69,138,138,231,231,0,0,67.000000,67.000000,0.12450695,31.392286,0.00436576,SCIP
2026-09-06T06:48:08.740548+00:00,3,6,996800,50.0,67,3136.317,32208.956,5.876,1083.398,4936.097,60059.326,OPTIMAL,FEASIBLE,69,68,69,69,149,148,289,289,0,0,69.000000,68.000000,0.17958055,42.552862,0.00690886,SCIP
2026-09-06T06:49:55.347635+00:00,3,7,996800,50.0,69,3108.829,32078.891,6.195,1016.896,4120.049,60057.991,OPTIMAL,FEASIBLE,65,64,69,70,147,146,356,355,0,0,65.000000,64.000000,0.18316752,39.536593,0.00399428,SCIP
2026-09-06T06:50:38.306241+00:00,3,8,996800,50.0,52,3034.356,30978.766,5.266,1086.784,909.433,925.156,OPTIMAL,OPTIMAL,56,58,56,58,135,135,424,424,0,0,56.000000,58.000000,0.13739702,32.437394,0.00477469,SCIP
2026-09-06T06:51:18.257133+00:00,3,9,996800,50.0,46,3170.545,29137.240,5.662,1125.214,112.565,83.257,OPTIMAL,OPTIMAL,46,46,46,46,115,115,490,490,0,0,46.000000,46.000000,0.15854988,39.373385,0.00608963,SCIP
2026-09-06T06:51:58.952386+00:00,4,0,996800,50.0,66,3116.047,29612.227,6.878,508.903,268.954,242.737,OPTIMAL,OPTIMAL,66,66,66,66,66,66,0,0,0,0,66.000000,66.000000,0.21820307,44.034673,0.00600125,SCIP
2026-09-06T06:52:39.459945+00:00,4,1,996800,50.0,61,3208.197,30038.663,5.648,629.376,146.735,106.345,OPTIMAL,OPTIMAL,61,61,61,61,120,120,7,7,0,0,61.000000,61.000000,0.20790773,41.087045,0.00534330,SCIP
2026-09-06T06:53:25.636098+00:00,4,2,996800,50.0,55,3202.604,29340.852,5.549,723.005,5111.768,1507.613,OPTIMAL,OPTIMAL,52,52,55,55,132,132,47,47,0,0,52.000000,52.000000,0.17199218,39.853747,0.00687331,SCIP
2026-09-06T06:54:06.306340+00:00,4,3,996800,50.0,64,3132.342,29786.296,5.895,637.126,568.702,317.207,OPTIMAL,OPTIMAL,67,67,67,67,138,137,108,109,0,0,67.000000,67.000000,0.20378970,44.563084,0.00572196,SCIP
2026-09-06T06:54:46.658540+00:00,4,4,996800,50.0,56,3229.703,29254.442,5.587,867.635,131.310,498.308,OPTIMAL,OPTIMAL,56,56,56,56,130,131,172,171,0,0,56.000000,56.000000,0.18825207,40.430403,0.00443340,SCIP
2026-09-06T06:57:26.769208+00:00,4,5,996800,50.0,69,3108.763,29915.522,5.769,645.972,60116.907,60068.107,FEASIBLE,FEASIBLE,67,67,69,69,138,138,231,231,0,0,67.000000,67.000000,0.19414242,39.110989,0.00479940,SCIP
2026-09-06T06:59:22.812990+00:00,4,6,996800,50.0,67,3097.843,31444.135,5.329,1072.532,14176.968,60052.089,OPTIMAL,FEASIBLE,69,68,69,69,149,148,289,289,0,0,69.000000,68.000000,0.17317928,35.607639,0.00619055,SCIP
2026-09-06T07:01:17.491438+00:00,4,7,996800,50.0,69,2987.468,31172.727,5.373,1059.623,60107.833,13285.724,FEASIBLE,OPTIMAL,64,64,69,70,146,145,356,356,0,0,64.000000,64.000000,0.22203744,41.829499,0.00624490,SCIP
2026-09-06T07:02:07.332975+00:00,4,8,996800,50.0,52,3069.406,32218.118,5.543,1083.391,2413.184,4905.686,OPTIMAL,OPTIMAL,57,58,57,58,135,135,424,424,0,0,57.000000,58.000000,0.20503992,40.482448,0.00590550,SCIP
2026-09-06T07:02:47.519668+00:00,4,9,996800,50.0,46,3164.877,29783.691,5.768,810.977,113.420,71.357,OPTIMAL,OPTIMAL,46,46,46,46,115,117,490,488,0,0,46.000000,46.000000,0.20360926,40.101060,0.00411266,SCIP
2026-09-06T07:03:28.628450+00:00,5,0,996800,50.0,66,3192.262,29745.742,7.440,512.215,300.412,317.737,OPTIMAL,OPTIMAL,66,66,66,66,66,66,0,0,0,0,66.000000,66.000000,0.18047245,42.554376,0.00714908,SCIP
2026-09-06T07:04:08.153337+00:00,5,1,996800,50.0,61,3180.660,29169.560,5.875,591.993,148.972,108.804,OPTIMAL,OPTIMAL,61,61,61,61,120,120,7,7,0,0,61.000000,61.000000,0.19860769,39.058044,0.00614775,SCIP
2026-09-06T07:05:48.395762+00:00,5,2,996800,50.0,55,3165.359,29105.347,5.307,728.808,798.813,60086.155,OPTIMAL,FEASIBLE,52,52,55,55,132,132,47,47,0,0,52.000000,52.000000,0.10151777,28.238911,0.00489811,SCIP
2026-09-06T07:06:31.453719+00:00,5,3,996800,50.0,64,3095.469,31614.724,5.978,1092.448,1017.546,100.757,OPTIMAL,OPTIMAL,67,67,67,67,137,137,109,109,0,0,67.000000,67.000000,0.16465569,39.478881,0.00607344,SCIP
2026-09-06T07:07:11.941888+00:00,5,4,996800,50.0,56,3192.376,30102.709,6.095,612.130,128.292,92.949,OPTIMAL,OPTIMAL,56,56,56,56,131,130,171,172,0,0,56.000000,56.000000,0.20078953,44.417447,0.00615383,SCIP
2026-09-06T07:08:55.802998+00:00,5,5,996800,50.0,69,3197.705,29672.181,5.969,741.740,3821.431,60070.539,OPTIMAL,FEASIBLE,67,67,69,69,138,139,231,230,0,0,67.000000,67.000000,0.18677144,43.193292,0.00620339,SCIP
2026-09-06T07:11:38.692566+00:00,5,6,996800,50.0,67,3182.737,32050.479,5.303,1082.932,60097.269,60058.159,FEASIBLE,FEASIBLE,68,68,69,69,148,149,289,288,0,0,68.000000,68.000000,0.18042849,42.559862,0.00630458,SCIP
2026-09-06T07:14:19.953089+00:00,5,7,996800,50.0,69,3089.179,30760.998,5.261,1093.680,60146.862,60070.134,FEASIBLE,FEASIBLE,65,64,70,70,146,146,356,355,0,0,65.000000,64.000000,0.12554447,33.881995,0.00477763,SCIP
2026-09-06T07:15:05.218346+00:00,5,8,996800,50.0,52,3092.699,30710.071,5.685,1097.659,2895.878,1315.255,OPTIMAL,OPTIMAL,57,58,57,58,135,134,424,425,0,0,57.000000,58.000000,0.12453109,28.293962,0.00686405,SCIP
2026-09-06T07:15:44.860643+00:00,5,9,996800,50.0,46,3135.762,28884.372,5.099,1120.682,168.199,135.434,OPTIMAL,OPTIMAL,46,46,46,46,115,116,490,489,0,0,46.000000,46.000000,0.14009315,33.442370,0.00473945,SCIP
2026-09-06T07:16:25.599507+00:00,6,0,996800,50.0,66,3190.690,29455.538,6.911,496.955,283.986,320.943,OPTIMAL,OPTIMAL,66,66,66,66,66,66,0,0,0,0,66.000000,66.000000,0.21153459,42.757358,0.00755249,SCIP
2026-09-06T07:17:05.833615+00:00,6,1,996800,50.0,61,3186.014,29798.801,5.566,610.799,146.613,146.988,OPTIMAL,OPTIMAL,61,61,61,61,120,120,7,7,0,0,61.000000,61.000000,0.14754725,34.362840,0.00602511,SCIP
2026-09-06T07:17:47.666065+00:00,6,2,996800,50.0,55,3180.960,29121.715,5.570,744.220,1169.165,1172.556,OPTIMAL,OPTIMAL,52,52,55,55,132,132,47,47,0,0,52.000000,52.000000,0.17285793,38.744706,0.00527094,SCIP
