timestamp_utc,run,epoch,scenario,estimator,rule,gamma,lam,arrivals,pending_before,assigned,running,completed_this_epoch,completed_total,evicted_total,moves_this_epoch,constrained_tasks,overcommitted_nodes,mean_grant_ratio,solver_ms,solver_status,objective,est_cpu_err_mean,est_cpu_err_p90
2026-09-04T08:46:42.623124+00:00,0,0,static,static,request,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,72.602,OPTIMAL,38.000000,,
2026-09-04T08:46:42.680238+00:00,0,0,sketch,sketch,p50,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,56.567,OPTIMAL,38.000000,,
2026-09-04T08:46:42.749271+00:00,0,0,es,es,p50,10,1.0,38,38,38,38,0,0,0,0,0,0,1.0000,68.559,OPTIMAL,38.000000,,
2026-09-04T08:47:17.186721+00:00,0,1,static,static,request,10,1.0,23,23,61,61,0,0,0,0,0,0,1.0000,137.982,OPTIMAL,3823.000000,49.4735,92.2246
2026-09-04T08:47:17.387690+00:00,0,1,sketch,sketch,p50,10,1.0,23,23,61,61,0,0,0,0,0,0,1.0000,152.046,OPTIMAL,3823.000000,0.6072,1.0459
2026-09-04T08:47:18.183052+00:00,0,1,es,es,p50,10,1.0,23,23,61,61,0,0,0,0,0,0,1.0000,133.733,OPTIMAL,3823.000000,0.5610,1.0188
2026-09-04T08:47:52.246248+00:00,0,2,static,static,request,10,1.0,36,36,76,89,8,8,0,0,7,0,0.9955,433.517,OPTIMAL,4036.000000,47.7135,102.4385
2026-09-04T08:47:52.700452+00:00,0,2,sketch,sketch,p50,10,1.0,36,36,76,89,8,8,0,0,27,0,0.9647,402.874,OPTIMAL,4036.000000,6.2844,19.9216
2026-09-04T08:47:54.534382+00:00,0,2,es,es,p50,10,1.0,36,36,76,89,8,8,0,0,27,0,0.9649,470.077,OPTIMAL,4036.000000,6.2402,19.8084
2026-09-04T08:48:28.595080+00:00,0,3,static,static,request,10,1.0,34,34,47,103,10,18,0,0,6,0,0.9951,467.679,OPTIMAL,2324.000000,45.9900,89.6613
2026-09-04T08:48:29.156337+00:00,0,3,sketch,sketch,p50,10,1.0,34,34,72,112,9,17,0,0,39,0,0.9507,448.487,OPTIMAL,4032.000000,6.6655,19.6775
2026-09-04T08:48:30.760367+00:00,0,3,es,es,p50,10,1.0,34,34,72,112,9,17,0,1,39,0,0.9508,599.489,OPTIMAL,4031.000000,6.6109,19.5833
2026-09-04T08:49:04.088019+00:00,0,4,static,static,request,10,1.0,36,46,50,107,18,36,0,0,12,1,0.9932,675.300,OPTIMAL,2822.000000,46.7487,94.0504
2026-09-04T08:49:08.259018+00:00,0,4,sketch,sketch,p50,10,1.0,36,38,70,123,19,36,0,1,55,2,0.9397,4070.967,OPTIMAL,4029.000000,7.2354,20.6120
2026-09-04T08:49:12.309217+00:00,0,4,es,es,p50,10,1.0,36,38,68,121,19,36,0,1,58,2,0.9404,3037.176,OPTIMAL,4027.000000,7.1916,20.4769
2026-09-04T08:49:53.936938+00:00,0,5,static,static,request,10,1.0,34,58,66,112,26,62,0,0,8,0,0.9932,6818.796,OPTIMAL,3531.000000,42.0240,90.7376
2026-09-04T08:50:00.186352+00:00,0,5,sketch,sketch,p50,10,1.0,34,42,65,133,15,51,0,1,62,1,0.9309,6145.920,OPTIMAL,4024.000000,8.5930,27.8475
2026-09-04T08:50:09.675790+00:00,0,5,es,es,p50,10,1.0,34,44,68,134,15,51,0,0,60,1,0.9309,8393.492,OPTIMAL,4028.000000,8.6415,27.7455
2026-09-04T08:50:51.923244+00:00,0,6,static,static,request,10,1.0,29,56,72,113,31,93,0,0,5,0,0.9937,2456.348,OPTIMAL,4032.000000,45.4336,95.3107
2026-09-04T08:51:01.161649+00:00,0,6,sketch,sketch,p50,10,1.0,29,46,72,125,40,91,0,0,76,1,0.9233,9149.144,OPTIMAL,4032.000000,7.6598,22.9489
2026-09-04T08:51:07.244999+00:00,0,6,es,es,p50,10,1.0,29,45,72,126,40,91,0,0,77,1,0.9241,4817.807,OPTIMAL,4032.000000,7.5330,22.8112
2026-09-04T08:51:45.394524+00:00,0,7,static,static,request,10,1.0,28,52,48,113,20,113,0,0,9,0,0.9939,479.625,OPTIMAL,2820.000000,47.3242,84.0840
2026-09-04T08:51:54.231557+00:00,0,7,sketch,sketch,p50,10,1.0,28,42,69,127,27,118,0,1,72,2,0.9207,8728.899,OPTIMAL,4028.000000,8.4209,24.4639
2026-09-04T08:51:57.565383+00:00,0,7,es,es,p50,10,1.0,28,41,67,127,26,117,0,1,73,2,0.9204,2031.531,OPTIMAL,4026.000000,8.6957,24.4031
2026-09-04T08:52:34.425987+00:00,0,8,static,static,request,10,1.0,27,59,62,112,28,141,0,0,11,0,0.9940,1448.200,OPTIMAL,3527.000000,38.3376,82.7475
2026-09-04T08:52:35.179266+00:00,0,8,sketch,sketch,p50,10,1.0,27,40,67,123,31,149,0,0,78,0,0.9170,645.311,OPTIMAL,4027.000000,10.0165,27.4234
2026-09-04T08:52:37.506844+00:00,0,8,es,es,p50,10,1.0,27,41,67,123,31,148,0,0,79,0,0.9166,912.510,OPTIMAL,4027.000000,10.4685,27.5119
2026-09-04T08:53:12.651786+00:00,0,9,static,static,request,10,1.0,33,65,66,113,28,169,0,0,3,0,0.9947,928.176,OPTIMAL,3729.000000,48.7625,92.8540
2026-09-04T08:53:14.703863+00:00,0,9,sketch,sketch,p50,10,1.0,33,46,71,130,24,173,0,1,71,1,0.9164,1958.253,OPTIMAL,4030.000000,8.1457,23.1446
2026-09-04T08:53:17.148228+00:00,0,9,es,es,p50,10,1.0,33,47,73,131,25,173,0,0,70,1,0.9157,1449.117,OPTIMAL,4033.000000,8.1882,23.3263
2026-09-04T08:53:53.840382+00:00,0,10,static,static,request,10,1.0,29,65,54,107,28,197,0,0,10,0,0.9943,501.560,OPTIMAL,3222.000000,47.0715,81.9640
2026-09-04T08:53:54.853538+00:00,0,10,sketch,sketch,p50,10,1.0,29,44,63,124,29,202,0,0,73,0,0.9148,901.279,OPTIMAL,4023.000000,9.1746,26.0096
2026-09-04T08:53:56.279092+00:00,0,10,es,es,p50,10,1.0,29,43,63,125,29,202,0,0,73,0,0.9142,599.997,OPTIMAL,4023.000000,9.0925,25.2622
2026-09-04T08:54:34.289964+00:00,0,11,static,static,request,10,1.0,36,79,71,110,28,225,0,0,3,0,0.9948,3317.185,OPTIMAL,4031.000000,45.0670,85.5554
2026-09-04T08:54:39.998742+00:00,0,11,sketch,sketch,p50,10,1.0,36,57,73,127,30,232,0,1,65,0,0.9143,5618.022,OPTIMAL,4032.000000,7.8201,24.1430
