request_id,request_type,status,total_ms,estimate_ms,json_ms
3d8a7562,node_metrics,200 OK,258.138,125.504,2.334
d2d6523b,node_metrics,200 OK,261.348,126.463,2.419
b669bd56,node_metrics,200 OK,221.656,107.094,1.700
239989f1,node_metrics,200 OK,262.076,127.457,2.401
c084629a,node_metrics,200 OK,259.643,125.808,2.384
4e24b50a,node_metrics,200 OK,259.387,126.198,2.356
2a5ee2c4,node_metrics,200 OK,196.507,94.371,2.085
8551c0aa,node_metrics,200 OK,261.386,126.770,2.389
0ad749cb,node_metrics,200 OK,208.980,101.129,1.975
280b4da8,node_metrics,200 OK,260.923,126.330,2.353
c8277927,node_metrics,200 OK,261.130,126.529,2.323
95c7a33c,node_metrics,200 OK,258.663,125.919,2.326
8ffe8af8,node_metrics,200 OK,264.103,128.021,2.333
5a5d4bd7,node_metrics,200 OK,255.461,124.325,2.364
b7b9790d,node_metrics,200 OK,260.359,125.973,2.327
06b1e93d,node_metrics,200 OK,258.304,125.967,2.314
a1667eb8,node_metrics,200 OK,259.216,125.548,2.354
b745f0be,node_metrics,200 OK,260.829,125.570,2.337
b252daa1,node_metrics,200 OK,191.760,92.503,1.590
bc040058,node_metrics,200 OK,259.723,125.596,2.397
9dc487b0,node_metrics,200 OK,201.445,97.951,1.555
669dc532,node_metrics,200 OK,259.667,125.840,2.332
2027f57b,node_metrics,200 OK,201.854,97.465,2.457
cf96dd1b,node_metrics,200 OK,229.992,111.323,1.822
c3481432,node_metrics,200 OK,153.435,73.774,1.061
484943ed,node_metrics,200 OK,261.364,126.363,2.395
03b17649,node_metrics,200 OK,202.342,97.920,1.633
74480700,node_metrics,200 OK,260.910,126.349,2.331
a09574f6,node_metrics,200 OK,248.279,119.866,2.412
161d2ea4,node_metrics,200 OK,260.865,126.291,2.423
43ef0e70,node_metrics,200 OK,259.846,125.090,3.299
9d756fc9,node_metrics,200 OK,248.921,120.323,2.456
14121fcc,node_metrics,200 OK,260.948,126.319,2.344
9d39e54f,node_metrics,200 OK,261.430,126.412,2.383
2f61eb9a,node_metrics,200 OK,261.339,126.459,2.353
d0ac3c61,node_metrics,200 OK,260.307,125.823,2.351
6193c15c,node_metrics,200 OK,258.755,125.406,2.351
222e16a0,node_metrics,200 OK,260.224,125.910,2.415
7872baea,node_metrics,200 OK,260.724,126.344,2.398
7a4954d7,node_metrics,200 OK,260.390,125.970,2.531
98caca70,node_metrics,200 OK,261.405,126.294,2.506
f762ecab,node_metrics,200 OK,259.826,126.137,2.577
4ba8ced2,node_metrics,200 OK,211.798,102.365,1.592
44741d38,node_metrics,200 OK,258.175,125.558,2.357
332ea039,node_metrics,200 OK,259.402,125.557,2.353
27173e2a,node_metrics,200 OK,251.833,121.823,2.345
e6d6f509,node_metrics,200 OK,260.366,126.244,2.316
c1e36254,node_metrics,200 OK,259.371,125.503,2.372
258610d7,node_metrics,200 OK,261.251,126.192,2.353
7b2a0c72,node_metrics,200 OK,257.830,125.227,2.339
35f8552a,node_metrics,200 OK,211.296,102.130,1.567
3e1d0f3d,node_metrics,200 OK,259.855,125.576,2.357
0c19d1d9,node_metrics,200 OK,262.149,126.181,2.328
7621c38f,node_metrics,200 OK,247.141,119.336,2.427
4b61e8ea,node_metrics,200 OK,260.613,126.465,2.390
0f3362e5,node_metrics,200 OK,262.116,126.794,2.396
944bd305,node_metrics,200 OK,231.473,111.968,1.837
dd20f215,node_metrics,200 OK,205.232,98.371,2.363
acd8ef87,node_metrics,200 OK,260.097,126.577,2.419
81293ba2,node_metrics,200 OK,206.142,98.864,2.377
d80f28ef,node_metrics,200 OK,236.379,114.248,1.920
679b52df,node_metrics,200 OK,257.880,125.185,2.340
2abe89a0,node_metrics,200 OK,204.250,98.432,2.345
09968f92,node_metrics,200 OK,262.454,126.374,2.377
12112141,node_metrics,200 OK,260.768,126.190,2.331
