rows,median_ingest_ms,median_query_ms,min_ingest_ms,max_ingest_ms,min_query_ms,max_query_ms
1000,955.0874,91.6905,918.1789,972.4778,74.1017,136.1590
2000,972.2233,67.2936,971.3962,981.8722,67.1808,75.9746
4000,960.4185,62.6433,948.6932,967.0707,58.6887,110.8147
