timestamp_utc,rows,repeat,es_ingest_ms,es_query_ms,solver_ms
2026-05-27T20:00:35.890195+00:00,64000,8,5169.8299,190.6680,355.3051
2026-05-27T20:00:35.890195+00:00,64000,9,5169.8299,195.2077,360.1968
2026-05-27T20:00:35.890195+00:00,64000,10,5169.8299,195.6883,356.1025
2026-05-27T20:00:35.890195+00:00,128000,1,10106.9406,265.6423,558.1738
2026-05-27T20:00:35.890195+00:00,128000,2,10106.9406,271.6635,515.5326
2026-05-27T20:00:35.890195+00:00,128000,3,10106.9406,244.2109,392.1557
2026-05-27T20:00:35.890195+00:00,128000,4,10106.9406,240.3707,350.7677
2026-05-27T20:00:35.890195+00:00,128000,5,10106.9406,265.3226,547.4577
2026-05-27T20:00:35.890195+00:00,128000,6,10106.9406,263.2712,474.7723
2026-05-27T20:00:35.890195+00:00,128000,7,10106.9406,251.1037,315.1469
2026-05-27T20:00:35.890195+00:00,128000,8,10106.9406,246.9103,565.1419
2026-05-27T20:00:35.890195+00:00,128000,9,10106.9406,272.2972,490.1086
2026-05-27T20:00:35.890195+00:00,128000,10,10106.9406,258.2963,581.8181
2026-05-27T20:00:35.890195+00:00,256000,1,18773.5052,406.5584,526.9903
2026-05-27T20:00:35.890195+00:00,256000,2,18773.5052,391.8310,417.9095
2026-05-27T20:00:35.890195+00:00,256000,3,18773.5052,396.1018,446.6288
2026-05-27T20:00:35.890195+00:00,256000,4,18773.5052,373.1250,452.4215
2026-05-27T20:00:35.890195+00:00,256000,5,18773.5052,390.9495,392.2699
2026-05-27T20:00:35.890195+00:00,256000,6,18773.5052,391.2549,476.1466
2026-05-27T20:00:35.890195+00:00,256000,7,18773.5052,371.9462,448.4457
2026-05-27T20:00:35.890195+00:00,256000,8,18773.5052,384.6415,388.2400
2026-05-27T20:00:35.890195+00:00,256000,9,18773.5052,397.7143,508.8171
2026-05-27T20:00:35.890195+00:00,256000,10,18773.5052,378.8575,493.3168
2026-05-27T20:00:35.890195+00:00,512000,1,39572.9833,421.3471,848.4524
2026-05-27T20:00:35.890195+00:00,512000,2,39572.9833,404.9968,813.4185
2026-05-27T20:00:35.890195+00:00,512000,3,39572.9833,409.0031,811.9714
2026-05-27T20:00:35.890195+00:00,512000,4,39572.9833,412.6750,761.8204
2026-05-27T20:00:35.890195+00:00,512000,5,39572.9833,416.6613,818.0995
2026-05-27T20:00:35.890195+00:00,512000,6,39572.9833,538.3870,805.4467
2026-05-27T20:00:35.890195+00:00,512000,7,39572.9833,409.9008,814.1705
2026-05-27T20:00:35.890195+00:00,512000,8,39572.9833,390.0362,643.4927
2026-05-27T20:00:35.890195+00:00,512000,9,39572.9833,388.5528,714.6642
2026-05-27T20:00:35.890195+00:00,512000,10,39572.9833,391.6111,654.8583
2026-05-27T20:00:35.890195+00:00,1024000,1,74166.1645,798.7449,741.4424
2026-05-27T20:00:35.890195+00:00,1024000,2,74166.1645,812.3429,710.1719
2026-05-27T20:00:35.890195+00:00,1024000,3,74166.1645,811.8425,699.8052
2026-05-27T20:00:35.890195+00:00,1024000,4,74166.1645,784.7670,700.6600
2026-05-27T20:00:35.890195+00:00,1024000,5,74166.1645,769.3390,694.4848
2026-05-27T20:00:35.890195+00:00,1024000,6,74166.1645,818.3017,687.7656
2026-05-27T20:00:35.890195+00:00,1024000,7,74166.1645,823.2822,699.7284
2026-05-27T20:00:35.890195+00:00,1024000,8,74166.1645,818.9664,692.4880
2026-05-27T20:00:35.890195+00:00,1024000,9,74166.1645,821.8871,667.9132
2026-05-27T20:00:35.890195+00:00,1024000,10,74166.1645,815.0864,692.6995
