run,epoch,node,metric,count,gt_p50,gt_p90,gt_p100,sketch_p100,es_default_p100,es_large_p100,sketch_rel_err,sketch_over_gt,tail_undershoot_frac
1,1,N003,cpu_cores,34054,1.2112960369186418,2.1732209081522034,4.35555708576883,2.7995606314385793,4.355556964874268,4.355556964874268,0.35724395839380696,0.642756041606193,0.49486872436983464
1,1,N003,memory_gb,34054,4.82091176125266,8.709661729917604,34.46048220890972,21.61987159874818,34.46048355102539,34.46048355102539,0.37261842513746407,0.627381574862536,0.43322525988822347
1,1,N003,network_mbps,34054,14.593293096159481,26.86343486301163,29.999542696438258,29.780337127456168,29.999542236328125,29.999542236328125,0.0073069636827536024,0.9926930363172464,0.014228353731080917
1,1,N023,cpu_cores,34053,1.210025112399932,2.1894164782303616,7.66568940502526,6.255371921267277,7.665689468383789,7.665689468383789,0.1839779058662938,0.8160220941337062,0.21846202339998827
1,1,N023,memory_gb,34053,4.769170468126498,8.684744259497238,27.834440394067325,19.39124665132229,27.834440231323242,27.834440231323242,0.3033362130946462,0.6966637869053538,0.3660565763962391
1,1,N023,network_mbps,34053,4.827136735311428,8.970970009765464,9.999917221341626,9.977543655544272,9.999917030334473,9.999917030334473,0.0022373751004262925,0.9977626248995737,0.004325249420070446
1,1,N011,cpu_cores,33453,0.606471603690899,1.0875096689180255,4.434023217222579,3.1748429242065863,4.434023380279541,4.434023380279541,0.28398143882627863,0.7160185611737214,0.3289780047810114
1,1,N011,memory_gb,33453,2.424549724611201,4.367004904872397,8.728507775320859,4.795803595031915,8.728507995605469,8.728507995605469,0.4505585927766878,0.5494414072233121,0.6238468195146423
1,1,N011,network_mbps,33453,14.760641676193243,26.9202837276935,29.999793519067005,29.979435502242413,29.999794006347656,29.999794006347656,0.0006786052314544233,0.9993213947685455,0.0013359022230696738
1,1,N020,cpu_cores,33453,0.6127294099323259,1.0904639554167195,5.9798910006769415,2.9952806620943835,5.979890823364258,5.979890823364258,0.49910781622017714,0.5008921837798229,0.5560872889926325
1,1,N020,memory_gb,33453,2.4437719191678187,4.366063350898616,19.184647310917196,9.772050426855746,19.184646606445312,19.184646606445312,0.4906317396153083,0.5093682603846917,0.562252371145441
1,1,N020,network_mbps,33453,4.967758929097562,8.996207910269899,9.999791534538504,9.938535780262338,9.999791145324707,9.999791145324707,0.006125703127369546,0.9938742968726304,0.012173163228301136
1,1,N016,cpu_cores,34053,1.2251415720873982,2.190227346373896,4.445672036500518,3.109980290362756,4.445672035217285,4.445672035217285,0.30044765677073504,0.699552343229265,0.41474277635226986
1,1,N016,memory_gb,34053,4.855984766944662,8.725029582822776,19.889061810620003,12.154051792330698,19.889060974121094,19.889060974121094,0.3889077369229706,0.6110922630770295,0.5145327198029328
1,1,N016,network_mbps,34053,4.826292069794902,8.9961384432441,9.999133313627826,9.995591126227731,9.999133110046387,9.999133110046387,0.00035424944232589456,0.9996457505576741,0.0006847663079391692
1,1,N013,cpu_cores,33753,0.6043889814877388,1.0880422327693138,3.7873396797872134,2.1735564408682393,3.787339687347412,3.787339687347412,0.4260994194768509,0.5739005805231491,0.5070085564885297
1,1,N013,memory_gb,33753,2.4376006889913695,4.3788756124836965,11.333598071024825,7.559981835516127,11.333598136901855,11.333598136901855,0.33295836078360896,0.667041639216391,0.42419259735057624
1,1,N013,network_mbps,33753,14.64417480551732,26.991337063256424,29.9998703844497,29.958819311847435,29.99987030029297,29.99987030029297,0.0013683749988314508,0.9986316250011685,0.0026733450393863012
