timestamp_utc,rows,server_rtt_ms,es_rtt_ms
2026-02-16T02:17:38.366865+00:00,10000,14.6877,171.5459
2026-02-16T02:17:42.981358+00:00,20000,11.7300,188.4976
2026-02-16T02:17:48.764862+00:00,30000,14.8892,243.6868
2026-02-16T02:17:55.639629+00:00,40000,9.0370,230.0646
2026-02-16T02:18:04.681932+00:00,50000,10.7432,275.0108
2026-02-16T02:18:14.847139+00:00,60000,15.1708,235.7843
2026-02-16T02:18:25.899499+00:00,70000,10.0674,179.4846
2026-02-16T02:18:38.185801+00:00,80000,9.8636,240.9667
2026-02-16T02:18:52.666631+00:00,90000,11.9236,245.1501
2026-02-16T02:19:08.187844+00:00,100000,9.5586,236.7641
2026-02-16T02:19:24.858560+00:00,110000,10.7694,266.4086
2026-02-16T02:19:43.627756+00:00,120000,11.1458,368.8023
2026-02-16T02:20:03.364044+00:00,130000,11.3682,331.8254
2026-02-16T02:20:24.257410+00:00,140000,13.2654,244.3288
2026-02-16T02:20:46.338218+00:00,150000,11.7081,220.6123
2026-02-16T02:21:09.447409+00:00,160000,14.8238,266.5942
2026-02-16T02:21:34.582813+00:00,170000,9.5928,242.7328
2026-02-16T02:22:00.758662+00:00,180000,11.9726,270.1103
2026-02-16T02:22:28.157144+00:00,190000,12.6766,281.9534
2026-02-16T02:22:57.557326+00:00,200000,14.7860,333.0034
2026-02-16T02:23:28.117742+00:00,210000,15.3385,341.5499
2026-02-16T02:23:59.552910+00:00,220000,13.4444,267.8762
2026-02-16T02:24:32.185692+00:00,230000,15.9924,308.6796
2026-02-16T02:25:07.023973+00:00,240000,8.9760,288.4671
2026-02-16T02:25:42.682114+00:00,250000,10.3386,300.5459
2026-02-16T02:26:20.624494+00:00,260000,10.0530,392.1178
2026-02-16T02:26:58.441587+00:00,270000,10.0839,327.1025
2026-02-16T02:27:38.241499+00:00,280000,13.1387,227.2093
2026-02-16T02:28:18.918776+00:00,290000,10.4742,275.8656
2026-02-16T02:29:02.129653+00:00,300000,13.0330,434.1367
2026-02-16T02:29:46.250192+00:00,310000,11.5076,345.5206
2026-02-16T02:30:31.224515+00:00,320000,13.8586,343.8365
2026-02-16T02:31:18.366534+00:00,330000,12.3704,383.3759
2026-02-16T02:32:06.197577+00:00,340000,11.4088,356.7118
2026-02-16T02:32:55.287655+00:00,350000,12.6303,370.2971
2026-02-16T02:33:45.331050+00:00,360000,12.7352,412.9453
2026-02-16T02:34:37.641756+00:00,370000,14.7841,550.3842
2026-02-16T02:35:30.698401+00:00,380000,12.7119,461.1202
2026-02-16T02:36:24.937671+00:00,390000,12.6969,462.0625
2026-02-16T02:37:21.342869+00:00,400000,11.0361,532.0672
2026-02-16T02:38:17.882607+00:00,410000,14.7558,533.1741
2026-02-16T02:39:15.260407+00:00,420000,13.8855,578.2637
2026-02-16T02:40:15.963762+00:00,430000,11.6810,605.5836
2026-02-16T02:41:17.696652+00:00,440000,11.4002,658.3626
2026-02-16T02:42:19.884379+00:00,450000,13.0968,596.1378
2026-02-16T02:43:22.978484+00:00,460000,15.3625,613.3119
2026-02-16T02:44:31.890546+00:00,470000,12.6244,610.8687
2026-02-16T02:45:38.963708+00:00,480000,14.5185,552.0740
2026-02-16T02:46:47.147177+00:00,490000,15.4357,620.3738
2026-02-16T02:47:57.538008+00:00,500000,14.1462,683.7852
2026-02-16T02:49:07.673530+00:00,510000,17.0101,721.7558
2026-02-16T02:50:18.718371+00:00,520000,16.1339,587.0327
2026-02-16T02:51:31.922605+00:00,530000,10.9764,590.2932
2026-02-16T02:52:46.070146+00:00,540000,8.6075,658.4773
2026-02-16T02:54:02.357463+00:00,550000,10.3156,660.9291
2026-02-16T02:55:18.658542+00:00,560000,11.3508,666.3622
2026-02-16T02:56:38.033970+00:00,570000,10.6337,632.9832
2026-02-16T02:57:58.429543+00:00,580000,10.0199,572.0254
2026-02-16T02:59:19.939841+00:00,590000,8.2983,669.5923
2026-02-16T03:00:42.092968+00:00,600000,9.9490,554.0600
2026-02-16T03:02:05.338012+00:00,610000,12.8358,615.3169
2026-02-16T03:03:30.593455+00:00,620000,9.4732,492.1270
2026-02-16T03:04:57.284735+00:00,630000,12.6590,723.7995
2026-02-16T03:06:24.792352+00:00,640000,13.3767,632.1158
2026-02-16T03:07:53.293663+00:00,650000,11.6511,640.2447
2026-02-16T03:09:23.842513+00:00,660000,10.9351,634.0171
2026-02-16T03:10:54.291591+00:00,670000,11.1124,609.7857
2026-02-16T03:12:27.914721+00:00,680000,12.8683,636.3289
2026-02-16T03:14:02.633439+00:00,690000,13.8742,639.5763
2026-02-16T03:15:38.427160+00:00,700000,12.4360,614.9737
2026-02-16T03:17:18.302783+00:00,710000,12.7265,728.0067
2026-02-16T03:18:55.054148+00:00,720000,15.0268,734.5682
2026-02-16T03:20:34.008914+00:00,730000,12.0435,679.0399
2026-02-16T03:22:15.908997+00:00,740000,11.8456,664.2604
2026-02-16T03:23:58.931630+00:00,750000,13.5709,705.2255
2026-02-16T03:25:43.126480+00:00,760000,12.4023,771.8826
2026-02-16T03:27:29.139357+00:00,770000,15.6218,715.1718
2026-02-16T03:29:15.248059+00:00,780000,14.9868,791.1867
2026-02-16T03:31:01.357788+00:00,790000,13.1003,740.4614
2026-02-16T03:32:49.359799+00:00,800000,13.9618,734.5019
2026-02-16T03:34:40.731017+00:00,810000,12.8257,806.4771
2026-02-16T03:36:31.970063+00:00,820000,10.9861,560.3716
2026-02-16T03:38:25.252360+00:00,830000,10.6405,838.3778
2026-02-16T03:40:20.889092+00:00,840000,10.6071,912.9479
2026-02-16T03:42:17.338793+00:00,850000,9.8047,863.7414
2026-02-16T03:44:14.964239+00:00,860000,11.3833,736.5568
2026-02-16T03:46:14.576735+00:00,870000,11.5666,951.5066
2026-02-16T03:48:18.334502+00:00,880000,13.6621,1019.9410
2026-02-16T03:50:18.734704+00:00,890000,11.4713,907.4330
2026-02-16T03:52:20.458829+00:00,900000,10.9320,925.3885
2026-02-16T03:54:24.338154+00:00,910000,10.8095,942.2568
2026-02-16T03:56:28.625962+00:00,920000,10.5858,819.4025
2026-02-16T03:58:33.187523+00:00,930000,10.5606,863.6929
2026-02-16T04:00:39.411920+00:00,940000,10.0751,869.7423
2026-02-16T04:02:47.715446+00:00,950000,14.5975,1018.2155
2026-02-16T04:04:55.962709+00:00,960000,11.5760,1031.5662
2026-02-16T04:07:05.341411+00:00,970000,11.3992,1026.3036
2026-02-16T04:09:16.772796+00:00,980000,12.7206,1016.0911
2026-02-16T04:11:28.581349+00:00,990000,12.3083,984.8698
2026-02-16T04:13:42.579935+00:00,1000000,10.9596,1006.8147
