timestamp_utc,epoch,server_rtt_ms,es_rtt_ms
2026-02-16T04:16:00.164783+00:00,1,11.9533,995.7640
2026-02-16T04:18:15.648890+00:00,2,11.8422,937.1410
2026-02-16T04:20:30.848226+00:00,3,12.2796,1040.3187
2026-02-16T04:22:46.131744+00:00,4,13.1665,979.8862
2026-02-16T04:25:07.461496+00:00,5,11.7275,1354.8736
2026-02-16T04:27:22.876646+00:00,6,11.5313,1025.0219
2026-02-16T04:29:37.138501+00:00,7,11.6940,994.4759
2026-02-16T04:31:52.205809+00:00,8,11.7581,1064.8693
2026-02-16T04:34:13.613900+00:00,9,9.9038,1863.9850
2026-02-16T04:36:28.139168+00:00,10,11.4541,1566.3822
