rows,median_ingest_ms,median_query_ms,min_ingest_ms,max_ingest_ms,min_query_ms,max_query_ms
1000,4.0926,2.4895,4.0926,4.0926,2.4895,2.4895
2000,5.2034,1.2879,5.2034,5.2034,1.2879,1.2879
4000,11.6765,1.4245,11.6765,11.6765,1.4245,1.4245
