timestamp_utc,rows,repeat,es_ingest_ms,es_query_ms
2026-05-26T20:44:41.379221+00:00,1000,1,918.1789,136.1590
2026-05-26T20:44:41.379479+00:00,1000,2,955.0874,91.6905
2026-05-26T20:44:41.379483+00:00,1000,3,972.4778,74.1017
2026-05-26T20:44:41.379486+00:00,2000,1,981.8722,75.9746
2026-05-26T20:44:41.379489+00:00,2000,2,972.2233,67.2936
2026-05-26T20:44:41.379491+00:00,2000,3,971.3962,67.1808
2026-05-26T20:44:41.379493+00:00,4000,1,948.6932,62.6433
2026-05-26T20:44:41.379496+00:00,4000,2,967.0707,110.8147
2026-05-26T20:44:41.379498+00:00,4000,3,960.4185,58.6887
