timestamp_utc,epoch,server_rtt_ms,es_rtt_ms
2026-02-11T17:09:45.122063+00:00,1,13.3467,993.4084
2026-02-11T17:11:59.692557+00:00,2,11.5634,889.1725
2026-02-11T17:14:13.750885+00:00,3,11.6921,927.0569
2026-02-11T17:16:29.916016+00:00,4,13.6099,910.4372
2026-02-11T17:18:49.871579+00:00,5,12.4373,1284.6146
2026-02-11T17:21:03.267732+00:00,6,11.9857,952.8941
2026-02-11T17:23:19.485462+00:00,7,12.9057,970.1319
2026-02-11T17:25:34.907103+00:00,8,15.3453,1099.4604
2026-02-11T17:27:58.235276+00:00,9,11.6611,1659.0716
2026-02-11T17:30:12.487853+00:00,10,13.0087,1312.2163
