timestamp_utc,epoch,server_query_ms,server_solver_ms,server_total_ms,es_query_ms,es_solver_ms,es_total_ms,solver_task_count,solver_node_count,query_node_count,all_nodes_count,all_tasks_count
2026-02-12T22:02:51.304526+00:00,1,7.9574,10.6447,18.6020,163.1723,6.9436,170.1159,1,5,5,30,62
2026-02-12T22:05:03.941556+00:00,2,7.8395,9.1537,16.9932,167.9162,5.9745,173.8907,1,5,5,30,62
2026-02-12T22:07:19.175922+00:00,3,6.6114,8.0832,14.6946,152.8093,7.1401,159.9494,1,5,5,30,62
2026-02-12T22:09:36.565703+00:00,4,6.6963,9.6378,16.3341,269.2871,6.1427,275.4298,1,5,5,30,62
2026-02-12T22:11:52.241962+00:00,5,7.6050,8.3520,15.9570,180.7484,6.1956,186.9440,1,5,5,30,62
2026-02-12T22:14:06.887472+00:00,6,8.0889,12.1181,20.2070,150.7618,6.5680,157.3298,1,5,5,30,62
2026-02-12T22:16:19.900535+00:00,7,6.9908,8.4615,15.4523,167.3923,7.0234,174.4157,1,5,5,30,62
2026-02-12T22:18:39.583010+00:00,8,7.4270,8.9027,16.3298,287.7961,6.1634,293.9595,1,5,5,30,62
2026-02-12T22:20:55.922389+00:00,9,8.0376,9.0522,17.0899,172.5147,6.1736,178.6883,1,5,5,30,62
2026-02-12T22:23:09.658253+00:00,10,7.8149,9.1699,16.9848,208.6924,6.1555,214.8480,1,5,5,30,62
