timestamp_utc,epoch,server_query_ms,server_solver_ms,server_total_ms,es_query_ms,es_solver_ms,es_total_ms,solver_task_count,solver_node_count,query_node_count,all_nodes_count,all_tasks_count
2026-02-12T21:37:06.836917+00:00,1,12.5355,46.8361,59.3716,1118.2535,42.4157,1160.6692,1,0,0,30,62
2026-02-12T21:39:20.169424+00:00,2,11.9268,53.3842,65.3110,919.3604,43.9464,963.3069,1,0,0,30,62
2026-02-12T21:41:36.207064+00:00,3,13.1473,52.8435,65.9908,902.9389,45.2555,948.1944,1,0,0,30,62
2026-02-12T21:43:50.701062+00:00,4,15.1851,48.7021,63.8872,906.9814,36.3541,943.3355,1,0,0,30,62
2026-02-12T21:46:10.459391+00:00,5,13.7673,53.9742,67.7415,1234.4321,43.6449,1278.0770,1,0,0,30,62
2026-02-12T21:48:26.795980+00:00,6,12.2915,32.2948,44.5862,874.3016,30.5799,904.8816,1,0,0,30,62
2026-02-12T21:50:40.106417+00:00,7,12.5586,48.5336,61.0922,976.7017,40.4631,1017.1647,1,0,0,30,62
2026-02-12T21:52:56.536991+00:00,8,12.8506,53.2511,66.1017,1036.5103,44.2430,1080.7533,1,0,0,30,62
2026-02-12T21:55:19.487863+00:00,9,11.0219,27.4980,38.5199,1627.2475,26.2141,1653.4615,1,0,0,30,62
2026-02-12T21:57:33.823409+00:00,10,11.8962,57.4917,69.3879,1269.5459,44.4294,1313.9753,1,0,0,30,62
