timestamp_utc,rows,server_rtt_ms,es_rtt_ms
2026-02-05T04:54:13.557928+00:00,10000,11.6952,126.8167
2026-02-05T04:54:16.983479+00:00,20000,10.8052,183.4771
2026-02-05T04:54:21.528700+00:00,30000,15.0018,210.4968
2026-02-05T04:54:26.084628+00:00,40000,8.8186,201.0907
2026-02-05T04:54:32.787750+00:00,50000,10.2590,257.4558
2026-02-05T04:54:39.515572+00:00,60000,12.0250,196.7566
2026-02-05T04:54:47.248110+00:00,70000,9.2093,163.7152
2026-02-05T04:54:56.101726+00:00,80000,11.1280,216.2012
2026-02-05T04:55:06.054079+00:00,90000,11.7877,206.2400
2026-02-05T04:55:17.079577+00:00,100000,8.7988,231.1934
2026-02-05T04:55:29.239612+00:00,110000,12.5203,270.0662
2026-02-05T04:55:42.388440+00:00,120000,10.5267,207.9300
2026-02-05T04:55:56.598143+00:00,130000,9.6578,195.3430
2026-02-05T04:56:11.992438+00:00,140000,11.7652,274.1291
2026-02-05T04:56:27.396072+00:00,150000,10.5631,290.5668
2026-02-05T04:56:43.949678+00:00,160000,12.7910,355.1003
2026-02-05T04:57:01.443175+00:00,170000,9.5956,238.4348
2026-02-05T04:57:19.998504+00:00,180000,12.5987,241.3771
2026-02-05T04:57:39.652112+00:00,190000,14.9789,244.3266
2026-02-05T04:58:00.356617+00:00,200000,12.3696,236.1316
2026-02-05T04:58:22.131394+00:00,210000,10.7058,234.2420
2026-02-05T04:58:45.011388+00:00,220000,13.7878,289.2442
2026-02-05T04:59:08.845902+00:00,230000,15.4265,185.1755
2026-02-05T04:59:32.918199+00:00,240000,8.9791,323.8467
2026-02-05T04:59:59.053707+00:00,250000,9.2143,241.1490
2026-02-05T05:00:24.079526+00:00,260000,10.4111,245.0941
2026-02-05T05:00:51.347897+00:00,270000,9.5942,318.7574
2026-02-05T05:01:19.640515+00:00,280000,14.6429,313.8773
2026-02-05T05:01:47.977305+00:00,290000,10.7852,272.0976
2026-02-05T05:02:17.399559+00:00,300000,9.2642,279.7554
2026-02-05T05:02:47.942134+00:00,310000,11.5941,299.9538
2026-02-05T05:03:19.435548+00:00,320000,10.8324,293.0445
2026-02-05T05:03:52.061955+00:00,330000,10.6635,343.4662
2026-02-05T05:04:25.681645+00:00,340000,11.2273,328.5461
2026-02-05T05:05:00.315797+00:00,350000,11.4280,275.9389
2026-02-05T05:05:35.934522+00:00,360000,12.3655,301.1414
2026-02-05T05:06:12.619692+00:00,370000,12.6186,304.0130
2026-02-05T05:06:49.314521+00:00,380000,9.7539,283.9477
2026-02-05T05:07:27.111007+00:00,390000,9.2078,305.3337
2026-02-05T05:08:06.880312+00:00,400000,9.8827,300.0061
2026-02-05T05:08:47.765403+00:00,410000,10.3043,316.3665
2026-02-05T05:09:28.646965+00:00,420000,12.5040,314.5875
2026-02-05T05:10:11.642626+00:00,430000,12.7701,403.1909
2026-02-05T05:10:55.555491+00:00,440000,10.3962,336.7660
2026-02-05T05:11:37.423523+00:00,450000,13.0121,317.8160
2026-02-05T05:12:22.361938+00:00,460000,11.2777,306.6522
2026-02-05T05:13:08.430037+00:00,470000,12.6080,347.8696
2026-02-05T05:13:55.535353+00:00,480000,11.7671,376.8963
2026-02-05T05:14:41.656160+00:00,490000,11.9222,383.9792
2026-02-05T05:15:29.857124+00:00,500000,13.2156,425.3175
2026-02-05T05:16:19.172168+00:00,510000,12.9103,423.3406
2026-02-05T05:17:08.490145+00:00,520000,16.6026,467.9133
2026-02-05T05:17:58.794778+00:00,530000,8.5584,443.6508
2026-02-05T05:18:53.212818+00:00,540000,11.9353,539.4766
2026-02-05T05:19:48.674732+00:00,550000,9.9035,523.9778
2026-02-05T05:20:44.174659+00:00,560000,9.4283,497.3353
2026-02-05T05:21:41.717301+00:00,570000,11.6953,586.9987
2026-02-05T05:22:39.203878+00:00,580000,9.2082,514.0518
2026-02-05T05:23:38.826251+00:00,590000,10.0664,590.5326
2026-02-05T05:24:38.607009+00:00,600000,10.7062,617.0962
2026-02-05T05:25:38.342785+00:00,610000,13.7277,582.0981
2026-02-05T05:26:40.099709+00:00,620000,10.2802,657.9328
2026-02-05T05:27:42.049176+00:00,630000,10.3938,659.1481
2026-02-05T05:28:44.868742+00:00,640000,10.1767,648.2132
2026-02-05T05:29:48.771390+00:00,650000,10.3436,642.7315
2026-02-05T05:30:54.682651+00:00,660000,11.1392,601.3371
2026-02-05T05:32:01.705347+00:00,670000,12.0344,661.9652
2026-02-05T05:33:08.709216+00:00,680000,11.7317,630.9992
2026-02-05T05:34:16.685175+00:00,690000,11.6390,607.1638
2026-02-05T05:35:24.731603+00:00,700000,13.1344,702.4956
2026-02-05T05:36:32.804403+00:00,710000,11.5336,617.3451
2026-02-05T05:37:43.845662+00:00,720000,12.2387,636.1701
2026-02-05T05:38:55.933987+00:00,730000,11.1007,655.1130
2026-02-05T05:40:09.036180+00:00,740000,11.4628,638.2073
2026-02-05T05:41:24.211084+00:00,750000,12.8207,631.2163
2026-02-05T05:42:37.388005+00:00,760000,11.4665,665.0532
2026-02-05T05:43:54.762965+00:00,770000,12.0628,727.8117
2026-02-05T05:45:12.105190+00:00,780000,11.3394,665.9336
2026-02-05T05:46:30.399826+00:00,790000,13.0800,653.1472
2026-02-05T05:47:48.777383+00:00,800000,13.6105,670.9962
2026-02-05T05:49:08.204051+00:00,810000,12.4857,677.8045
2026-02-05T05:50:24.530811+00:00,820000,10.5647,601.8157
2026-02-05T05:51:44.894983+00:00,830000,7.7307,599.3203
2026-02-05T05:53:04.204907+00:00,840000,9.1459,582.3753
2026-02-05T05:54:24.625979+00:00,850000,9.7509,647.2310
2026-02-05T05:55:48.056713+00:00,860000,9.1344,572.8734
2026-02-05T05:57:12.633396+00:00,870000,9.3272,588.4381
2026-02-05T05:58:39.091051+00:00,880000,8.9127,572.5531
2026-02-05T06:00:04.726982+00:00,890000,9.3533,638.8095
2026-02-05T06:01:32.447662+00:00,900000,10.7330,663.4962
2026-02-05T06:03:01.136154+00:00,910000,11.3084,628.8493
2026-02-05T06:04:29.760776+00:00,920000,9.3017,628.5922
2026-02-05T06:05:59.551563+00:00,930000,8.5337,640.3715
2026-02-05T06:07:32.401174+00:00,940000,9.1205,685.5252
2026-02-05T06:09:05.215910+00:00,950000,11.1085,677.0363
2026-02-05T06:10:40.056997+00:00,960000,10.6712,635.7730
2026-02-05T06:12:15.069916+00:00,970000,10.9090,729.4513
2026-02-05T06:13:51.131181+00:00,980000,12.6280,761.5401
2026-02-05T06:15:28.162078+00:00,990000,10.3890,665.6634
2026-02-05T06:17:06.201357+00:00,1000000,10.5159,707.0821
