timestamp_utc,epoch,server_objective,server_assignments,server_unassigned,server_status,server_solver_ms,es_objective,es_assignments,es_unassigned,es_status,es_solver_ms
2026-02-16T04:40:10.453310+00:00,1,-28.000000,28,34,1,42032.6841,-28.000000,28,34,1,41950.1994
2026-02-16T04:43:49.350208+00:00,2,-28.000000,28,34,1,41684.2376,-28.000000,28,34,1,41847.2679
2026-02-16T04:47:30.953912+00:00,3,-28.000000,28,34,1,41954.0324,-28.000000,28,34,1,41843.7710
2026-02-16T04:51:17.923231+00:00,4,-28.000000,28,34,1,42142.1796,-28.000000,28,34,1,41932.7084
2026-02-16T04:54:58.582583+00:00,5,-28.000000,28,34,1,41907.7597,-28.000000,28,34,1,41680.9399
2026-02-16T04:58:37.827212+00:00,6,-28.000000,28,34,1,41955.6661,-28.000000,28,34,1,41802.7738
2026-02-16T05:02:17.843172+00:00,7,-28.000000,28,34,1,41856.7494,-28.000000,28,34,1,41868.1810
2026-02-16T05:06:01.772952+00:00,8,-28.000000,28,34,1,41939.1114,-28.000000,28,34,1,41984.0706
2026-02-16T05:09:42.214000+00:00,9,-28.000000,28,34,1,41965.9039,-28.000000,28,34,1,41943.8263
2026-02-16T05:13:21.829133+00:00,10,-28.000000,28,34,1,42006.0943,-28.000000,28,34,1,41855.2321
